EUI_kWh_per_sqmt,SQMT,NFLOOR,FLCEILHT,YRCONC,MONUSE,OCCUPYP,WKHRS,NWKER,HEATP,COOLP,DAYLTP,HDD65,CDD65,PUBCLIM
287.87146058367335,18580.6,3,13,3,12,100.0,60,600,75.0,75.0,15.0,3430,1987,4
174.7699938761012,520.2568,1,10,8,12,100.0,50,15,100.0,100.0,0.0,8836,901,1
345.9629338040426,6131.598,1,14,4,12,100.0,50,150,100.0,70.0,2.0,4136,1355,3
92.1468525778039,26012.84,2,9,5,12,100.0,71,450,100.0,52.0,75.0,714,1638,4
192.69480846629483,39948.29,995,9,7,12,100.0,60,582,100.0,75.0,10.0,4470,1524,3
1466.705222453135,25548.325,5,14,7,12,100.0,168,900,100.0,95.0,5.0,7972,968,1
292.61375950961997,6689.016,995,12,6,12,100.0,85,220,100.0,100.0,20.0,4135,1613,3
351.8427949715008,139354.5,995,14,7,12,90.0,168,7500,95.0,85.0,20.0,4291,1525,7
110.92541329260564,157935.1,4,10,7,12,75.0,72,1200,46.0,46.0,45.0,1514,3719,7
164.48852640757968,7710.949,3,10,4,12,85.0,54,25,100.0,100.0,0.0,4764,1485,3
205.3314806069512,4041.2805,4,11,8,12,100.0,42,60,100.0,80.0,25.0,6059,609,2
101.0238795855441,3762.5715,3,12,8,12,65.0,65,200,100.0,100.0,20.0,1363,711,4
105.86745471943856,464.515,1,12,2,12,100.0,50,5,25.0,25.0,25.0,5936,963,2
215.17056116033137,213.6769,3,10,2,12,100.0,45,1,100.0,90.0,50.0,5888,911,2
164.9739846678447,11519.972,3,9,8,12,100.0,55,300,100.0,100.0,0.0,5379,1562,3
146.47093002166625,65032.1,995,10,2,12,75.0,168,1500,90.0,90.0,70.0,4867,1333,3
121.75495432445018,8454.173,4,9,6,12,100.0,50,200,100.0,100.0,0.0,4801,1466,2
185.9936543455719,557.418,1,8,7,12,100.0,60,11,100.0,80.0,20.0,4070,2336,3
67.19793318899437,65032.1,995,9,7,12,85.0,50,480,83.0,82.0,40.0,3967,1822,3
141.5836709260331,74322.4,8,10,6,12,95.0,11,2500,100.0,95.0,15.0,4751,2067,3
160.94840725667274,11148.36,3,14,8,12,60.0,15,45,100.0,100.0,100.0,2244,3207,4
80.85256252483664,1138.06175,1,10,9,12,50.0,40,5,50.0,50.0,25.0,6453,1194,2
252.85789936833763,83612.7,995,12,7,12,98.0,168,3000,90.0,90.0,15.0,5229,940,2
121.34311637001164,12820.614,6,12,7,12,89.0,168,200,100.0,100.0,25.0,3049,2072,4
182.41529622653024,2229.672,2,12,8,12,100.0,40,15,100.0,100.0,30.0,7540,641,1
158.14299093345653,10219.33,1,12,7,12,100.0,92,150,100.0,100.0,5.0,2704,2705,4
125.13092172019664,650.321,2,10,4,12,100.0,45,7,100.0,100.0,10.0,4166,1540,2
86.51311910037155,5109.665,3,8,8,12,85.0,44,105,99.0,95.0,40.0,2728,2102,4
261.213044859513,7803.852,3,10,3,12,90.0,44,70,100.0,97.0,0.0,4752,1800,3
149.6915217174667,33909.595,994,10,5,12,100.0,70,740,100.0,98.0,10.0,4150,1783,3
252.9113807604272,26477.355,9,13,6,12,75.0,60,200,65.0,70.0,5.0,5127,1008,3
165.60732633590163,4134.1835,1,12,8,12,100.0,45,58,100.0,100.0,5.0,5740,1731,3
229.22187070785407,157935.1,8,8,2,12,90.0,84,4750,60.0,100.0,1.0,3853,2060,7
154.18688795189982,19974.145,7,9,8,12,85.0,60,710,100.0,100.0,0.0,1938,3756,5
42.83831621312058,283.35415,1,8,6,12,100.0,40,3,100.0,50.0,0.0,1797,2996,4
127.14171499465196,1254.1905,1,10,7,12,85.0,70,70,100.0,100.0,15.0,4599,1223,3
138.32226246658166,12449.002,5,9,8,12,100.0,50,550,100.0,100.0,25.0,5396,1121,3
200.762723833759,38554.745,995,10,4,12,75.0,40,825,100.0,100.0,30.0,3427,2049,4
293.27498989696545,167225.4,995,10,2,12,72.0,55,3000,80.0,80.0,30.0,6974,834,7
120.02101632983768,1021.933,3,8,6,12,100.0,60,24,100.0,100.0,50.0,892,1223,4
130.1079265295995,45057.955,6,13,7,12,100.0,50,500,95.0,95.0,25.0,5277,802,2
197.65230892694532,20903.175,8,12,8,12,100.0,168,850,100.0,100.0,20.0,1550,3479,5
260.1438625345696,26477.355,994,12,6,12,78.0,66,900,100.0,100.0,5.0,8735,891,1
136.2944469385818,7153.531,3,8,6,12,95.0,65,80,50.0,75.0,25.0,630,1443,4
195.28086459730852,74322.4,995,12,5,12,90.0,11,2500,90.0,90.0,5.0,3558,2150,4
540.668235238085,19509.63,994,10,5,12,90.0,168,600,100.0,100.0,15.0,4501,1666,3
186.3657213632332,32980.565,994,11,8,12,95.0,72,325,75.0,85.0,30.0,3518,1866,3
107.6262971254965,167225.4,995,11,6,12,95.0,55,2500,89.0,91.0,3.0,6326,1203,7
105.98725908863128,418.0635,3,12,2,12,33.0,42,3,66.0,66.0,0.0,4896,2033,3
143.25627361568715,10219.33,4,9,9,12,100.0,55,197,100.0,100.0,0.0,1060,2043,4
159.2044334911682,27870.9,8,13,8,12,100.0,54,608,100.0,100.0,50.0,6335,1047,3
120.50809718317312,55741.8,995,9,8,12,90.0,60,1200,80.0,80.0,20.0,4116,2117,3
216.81497406475287,9847.718,2,15,6,12,80.0,60,300,100.0,100.0,10.0,7712,957,1
205.7093783640057,19045.115,994,12,7,12,100.0,60,600,100.0,100.0,0.0,3515,2124,4
163.19274127118248,5574.18,2,10,5,12,100.0,50,60,100.0,100.0,20.0,983,1844,4
71.17473121714764,13935.45,3,9,2,12,100.0,60,76,100.0,100.0,10.0,4081,1377,3
660.1934311081691,83612.7,995,13,5,12,85.0,168,2750,95.0,90.0,75.0,4364,1475,3
186.09721078100551,22761.235,995,10,6,12,80.0,66,350,80.0,80.0,5.0,4862,1409,3
75.62333248840717,28335.415,6,12,6,12,92.0,60,750,100.0,100.0,25.0,4622,1531,3
171.3921295656453,65032.1,995,20,8,12,100.0,50,500,80.0,80.0,25.0,4188,357,3
306.55979893046555,2508.381,2,12,5,12,100.0,66,111,100.0,100.0,30.0,1361,808,4
249.65288374329384,5759.986,3,14,8,12,91.0,54,178,100.0,100.0,30.0,1494,4024,5
139.4674520448817,36232.17,5,9,7,12,100.0,50,2100,100.0,100.0,25.0,5418,784,2
58.05561465437386,789.6754999999999,2,8,7,12,100.0,40,2,100.0,100.0,0.0,3825,1053,3
202.116101569281,204.3866,3,8,2,12,100.0,40,2,100.0,100.0,35.0,5457,1010,2
240.64517112551297,12634.808,5,11,6,12,74.0,60,244,100.0,100.0,50.0,3764,1605,3
152.54399278426277,4598.6985,1,12,7,12,90.0,33,8,70.0,100.0,50.0,5267,1340,3
184.3649460845517,26941.87,994,12,8,12,94.0,76,1000,74.0,100.0,5.0,4070,2035,3
198.28880308554733,9847.718,4,9,7,12,100.0,45,263,100.0,90.0,0.0,6333,387,2
130.5808595980352,16908.346,995,10,4,12,75.0,168,750,100.0,100.0,10.0,1718,2633,5
175.94819277584736,510.9665,1,10,5,12,100.0,46,12,100.0,50.0,25.0,4179,2077,3
363.8244410769977,35303.14,995,20,5,12,100.0,80,1478,100.0,100.0,70.0,1494,3570,5
209.01172598325377,1045.15875,1,50,7,12,100.0,80,10,100.0,100.0,0.0,4889,1644,3
415.9135721432647,32516.05,994,10,7,12,100.0,50,975,90.0,90.0,20.0,3328,2119,4
169.20636504606955,11148.36,3,16,8,12,82.0,168,45,100.0,100.0,30.0,4775,1349,3
276.77853464168726,83612.7,994,10,5,12,50.0,60,1532,100.0,50.0,30.0,4113,1958,3
503.6549283425353,28335.415,3,15,3,12,100.0,168,500,100.0,95.0,25.0,5119,1218,3
55.25618604226576,2415.478,2,11,4,12,95.0,168,40,100.0,100.0,0.0,809,1196,4
151.63657936270448,5574.18,2,10,6,12,82.0,50,300,100.0,100.0,0.0,5117,1791,3
202.56799158456843,12820.614,4,8,6,12,83.0,55,500,100.0,90.0,20.0,4918,1147,2
165.46881238652634,10219.33,7,9,7,12,90.0,62,250,100.0,100.0,20.0,6664,565,2
177.68945550466614,743.224,1,11,3,12,100.0,45,8,100.0,100.0,0.0,6300,1260,2
149.71437043494674,5202.568,2,9,8,12,100.0,45,200,75.0,75.0,15.0,5142,298,3
410.3331487806583,5481.277,4,15,9,12,75.0,80,26,95.0,95.0,30.0,4601,1705,3
256.5564531188055,15421.898,995,15,8,12,90.0,60,185,100.0,100.0,25.0,5672,1413,3
85.8286874902758,4087.732,2,8,6,12,88.0,45,60,100.0,100.0,0.0,1467,3380,5
125.66070870742016,6131.598,5,10,2,12,75.0,35,350,100.0,100.0,20.0,4086,2006,4
315.42520684466376,4552.247,4,10,7,12,100.0,70,173,100.0,95.0,15.0,5211,1314,2
144.64833624047475,157935.1,995,9,6,12,90.0,60,3500,100.0,100.0,30.0,1554,3269,7
