prior,ece,feat_floor_area,feat_ghg_emissions_int,feat_fuel_eui,feat_electric_eui
normal,0.42728230262344524,0.007354011293500662,0.0295146144926548,0.013769272714853287,0.01378360204398632
laplace,0.3123638295314529,0.006632100325077772,0.057918157428503036,0.019870536401867867,0.019991371780633926
student_t,0.18729706671717875,0.0002505682350602001,0.0015451885992661119,0.0009366602171212435,0.0008129332563839853
mixture,0.4410519503153764,0.009966866113245487,0.034027840942144394,0.01660408265888691,0.015971936285495758
