Iter 32: min_w=-0.4662065532624047, max_w=0.5790795933886472, min_pred=-3.8765025141284464, max_pred=3.0571569389801017, min_pred_unscaled=-25.944582399169278, max_pred_unscaled=159.7726554801062
Iter 33: min_w=-0.5232798158802742, max_w=0.6096877049197862, min_pred=-3.327251700724692, max_pred=2.835033384825587, min_pred_unscaled=-11.232965156046845, max_pred_unscaled=153.8231026899112
Iter 34: min_w=-0.5147465289602737, max_w=0.5201430230832628, min_pred=-3.6025277267085256, max_pred=2.5867923338200174, min_pred_unscaled=-18.606200537138605, max_pred_unscaled=147.1739958751348
Iter 35: min_w=-0.5195539360719382, max_w=0.5370742310167607, min_pred=-3.5999813681091526, max_pred=2.7788546398510614, min_pred_unscaled=-18.537996627078712, max_pred_unscaled=152.31836173533264
Iter 36: min_w=-0.4979990897728404, max_w=0.5330783962099588, min_pred=-3.57234281545408, max_pred=2.8005225287604505, min_pred_unscaled=-17.797701304991648, max_pred_unscaled=152.89873354420806
Iter 37: min_w=-0.49361647339725645, max_w=0.508065038937657, min_pred=-4.0746860732918435, max_pred=2.733634953005178, min_pred_unscaled=-31.25290529126184, max_pred_unscaled=151.1071578399613
Iter 38: min_w=-0.46918737683573697, max_w=0.5205666747671283, min_pred=-3.574112260763342, max_pred=2.744877464572631, min_pred_unscaled=-17.84509568564114, max_pred_unscaled=151.40828716557263
Iter 39: min_w=-0.4946569427007411, max_w=0.5744704695365556, min_pred=-3.821420341100775, max_pred=2.860309356340644, min_pred_unscaled=-24.46921299283059, max_pred_unscaled=154.50011655917285
Iter 40: min_w=-0.5388800084982814, max_w=0.580642242119439, min_pred=-3.7754348237760746, max_pred=3.25498038114894, min_pred_unscaled=-23.23749641982178, max_pred_unscaled=165.0713326816374
Iter 41: min_w=-0.4315707398158436, max_w=0.47775237545037047, min_pred=-3.6761217412718312, max_pred=2.636284650492964, min_pred_unscaled=-20.577407401504672, max_pred_unscaled=148.49964164861234
Iter 42: min_w=-0.5525072849916207, max_w=0.5695364328737115, min_pred=-3.843772033289035, max_pred=3.314521008692145, min_pred_unscaled=-25.06790039061883, max_pred_unscaled=166.66612125810332
Iter 43: min_w=-0.5070292419220989, max_w=0.5343431196242588, min_pred=-3.768663163336742, max_pred=2.729080672703464, min_pred_unscaled=-23.056118306120894, max_pred_unscaled=150.98517198763005
Iter 44: min_w=-0.4841218514866269, max_w=0.550629377849088, min_pred=-3.8040072604282438, max_pred=3.051257845630089, min_pred_unscaled=-24.00280571290257, max_pred_unscaled=159.61464897136932
Iter 45: min_w=-0.4672303781114161, max_w=0.6368851926433905, min_pred=-3.953184404635663, max_pred=3.3856120231489366, min_pred_unscaled=-27.998497650801184, max_pred_unscaled=168.57028556444692
Iter 46: min_w=-0.5417532635403899, max_w=0.556585577777699, min_pred=-3.6392070579458515, max_pred=2.7417568744463274, min_pred_unscaled=-19.58865203057057, max_pred_unscaled=151.3247025328502
Iter 47: min_w=-0.5528276038594424, max_w=0.5601234463414585, min_pred=-3.854781133466873, max_pred=2.8623305922894615, min_pred_unscaled=-25.362777820119305, max_pred_unscaled=154.5542551219412
Iter 48: min_w=-0.5287147491946494, max_w=0.528551648066288, min_pred=-3.7900404259312985, max_pred=3.2069740434773357, min_pred_unscaled=-23.628705723967187, max_pred_unscaled=163.78548867770766
Iter 49: min_w=-0.5196277619089068, max_w=0.5236570146659176, min_pred=-3.5850808537827317, max_pred=2.8331604029919033, min_pred_unscaled=-18.13888813575487, max_pred_unscaled=153.77293509585752
