,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,ENERGYSTARScore,Electricity(kWh),NaturalGas(kBtu),GHGEmissionsIntensity,SiteEUI(kBtu/sf)
YearBuilt,1.0,0.17395269102052194,0.016007149608124494,0.19337577803789535,0.1165702746472168,0.1137062067128711,0.03309890558114044,-0.17695001752020836,-0.00956390053999423
NumberofFloors,0.17395269102052194,1.0,-0.0021682992113339077,0.6420512955649635,0.07311556220500781,0.4715919825483215,0.15030110910440334,-0.019175737375885533,-0.018439876564439017
NumberofBuildings,0.016007149608124494,-0.0021682992113339077,1.0,0.0617947178354092,0.01052089640123741,0.05983954243512418,0.049430858437304284,0.005489860694971416,-0.007050630686622081
PropertyGFATotal,0.19337577803789535,0.6420512955649635,0.0617947178354092,1.0,0.07302178750347356,0.832590284376287,0.39409198399723044,0.07083186516276321,-0.005916928641831314
ENERGYSTARScore,0.1165702746472168,0.07311556220500781,0.01052089640123741,0.07302178750347356,1.0,-0.060253073412106534,-0.08488261360545772,-0.31691939749449366,-0.01270358355166064
Electricity(kWh),0.1137062067128711,0.4715919825483215,0.05983954243512418,0.832590284376287,-0.060253073412106534,1.0,0.5105691934876858,0.20999554042904042,-0.0019721290433723916
NaturalGas(kBtu),0.03309890558114044,0.15030110910440334,0.049430858437304284,0.39409198399723044,-0.08488261360545772,0.5105691934876858,1.0,0.32441352443318044,-0.004111912333938033
GHGEmissionsIntensity,-0.17695001752020836,-0.019175737375885533,0.005489860694971416,0.07083186516276321,-0.31691939749449366,0.20999554042904042,0.32441352443318044,1.0,0.020848442607932758
SiteEUI(kBtu/sf),-0.00956390053999423,-0.018439876564439017,-0.007050630686622081,-0.005916928641831314,-0.01270358355166064,-0.0019721290433723916,-0.004111912333938033,0.020848442607932758,1.0
