,rmse,mae,r2,crps,picp_90
Random Forest,4.284325362699344,2.712962291637808,0.9742816819083244,1.9008671389722978,0.6434351982783657
Linear Regression,6.607384176343083,4.0559907754262285,0.9389501015345255,0.7642707228660583,0.9294079680335946
XGBoost,4.222479599291499,2.6219240029652915,0.9749760627746582,1.976958155632019,0.5684722757852337
Hierarchical ARD,83.60337840243774,81.75481684836039,-8.780259925431775,-4585.772091534283,1.0
Horseshoe,63.18983839560756,61.05682681090016,-4.627132887561088,-109.92005148470555,1.0
Spike-and-Slab,64.63695262824007,62.35816924700088,-4.854323652131395,-55.62303825478301,1.0
AEH (Ours),6.6870919091138425,4.294162446181525,0.9374372151229404,2.8217672131867864,0.7119804288691142
