method,n,p,replication,MSE_signal,FPR,bulk_ESS,converged_alpha,rhat_max,converged_ok
Horseshoe,200,200,31,0.061429257802958735,0.49473684210526314,89.06175241513193,,1.0793554427029006,False
AEH,200,200,32,0.643508883352964,0.7894736842105263,53.36239664623365,0.5285116204987681,1.2302120356766844,False
Horseshoe,200,200,32,0.09648126099297624,0.6210526315789474,84.35421449313635,,1.0389142252901205,True
AEH,200,200,33,0.7679516677939673,0.8157894736842105,41.80757060377749,0.5245133494899826,1.2531490995994705,False
Horseshoe,200,200,33,0.14567634172588945,0.5578947368421052,96.89325972754015,,1.044352389760835,True
AEH,200,200,34,0.9809314805550086,0.7631578947368421,43.08008381178026,0.519183547400753,1.4675735707223847,False
Horseshoe,200,200,34,0.11493634308158843,0.5421052631578948,85.51604717100588,,1.083983581153103,False
AEH,200,200,35,0.9745357705206888,0.8894736842105263,45.36281218606615,0.5235751264610549,1.1494430990921949,False
Horseshoe,200,200,35,0.1538232805433237,0.5,91.49307982607108,,1.0425867565453004,True
AEH,200,200,36,0.9216665720347145,0.9526315789473684,29.712925798112934,0.4798413877186168,1.7258769876255167,False
Horseshoe,200,200,36,0.14824825071503023,0.6368421052631579,87.33237700178994,,1.0212684219124002,True
AEH,200,200,37,1.2279602016437434,0.8842105263157894,29.84740272061048,0.5048231224120994,1.4801443998142751,False
Horseshoe,200,200,37,0.03187759944189318,0.45789473684210524,84.5279059898749,,1.0471843221382866,True
AEH,200,200,38,0.49185805033712926,0.8,37.37520552182213,0.5265437081521712,1.1831081165736055,False
Horseshoe,200,200,38,0.04987546551733391,0.5947368421052631,68.40744206608933,,1.072564771443767,False
AEH,200,200,39,1.115478166660872,0.8894736842105263,42.04227480216845,0.5127902696396894,1.4263449931924899,False
Horseshoe,200,200,39,0.2033261474511053,0.6368421052631579,85.51816955607794,,1.0465574909847444,True
AEH,200,200,40,1.5117848579353548,0.8842105263157894,42.602617837185846,0.5044216715985289,1.1903167701796409,False
Horseshoe,200,200,40,0.08633688396491696,0.5736842105263158,89.43233131937924,,1.040488650061976,True
AEH,200,200,41,1.2733059958422077,0.9052631578947369,35.54972742577118,0.5061675130610538,1.5605864325927752,False
Horseshoe,200,200,41,0.06724246110078036,0.6105263157894737,76.52264025776905,,1.054158266588254,False
AEH,200,200,42,1.837695926404963,0.8789473684210526,44.47095241468742,0.5011925582441452,1.137983345948602,False
Horseshoe,200,200,42,0.1860652276036223,0.6789473684210526,80.86730972231724,,1.0470672499082572,True
AEH,200,200,43,1.88983847455521,0.8894736842105263,38.95682855085223,0.47771195091684604,1.1879927351625648,False
Horseshoe,200,200,43,0.18774987448022787,0.6052631578947368,93.25898060656236,,1.032425449660004,True
AEH,200,200,44,1.0093702529963366,0.8736842105263158,44.921825376287686,0.5029639131982596,1.1191774764095996,False
Horseshoe,200,200,44,0.12267676425994065,0.5842105263157895,80.99294644034104,,1.0384031456725542,True
AEH,200,200,45,2.254268380619684,0.8736842105263158,36.639921161976766,0.5144412224826584,1.3827809262405046,False
Horseshoe,200,200,45,0.12292471154300333,0.5789473684210527,85.82429494679512,,1.0340780648776149,True
AEH,200,200,46,1.2256406596180218,0.8578947368421053,37.04851164462141,0.49287101532171484,1.3338267351498305,False
Horseshoe,200,200,46,0.10741262068396147,0.5684210526315789,86.16492560937408,,1.0517688386504958,False
AEH,200,200,47,0.856496456294785,0.9105263157894737,37.723021010811934,0.5128476584422649,1.224577566215099,False
Horseshoe,200,200,47,0.14465524075605013,0.5684210526315789,86.73114502830889,,1.0685778080481954,False
AEH,200,200,48,0.9649903230087513,0.8736842105263158,48.07861191119604,0.5341436311850187,1.263995010178042,False
Horseshoe,200,200,48,0.11550458912495627,0.5421052631578948,82.89442065104035,,1.080616738863191,False
AEH,200,200,49,1.5991344177847557,0.9368421052631579,39.19053509800426,0.4973247484282724,1.119202670594772,False
Horseshoe,200,200,49,0.13788420375768018,0.7210526315789474,80.52570373438797,,1.0480770262944519,True
AEH,500,200,0,0.01047649419604997,0.03684210526315789,291.4554403946864,0.48165863084370464,1.0563427495784148,False
Horseshoe,500,200,0,0.011859303775358617,0.03684210526315789,296.10174184959317,,1.0019624656075874,True
AEH,500,200,1,0.009719389432470757,0.05789473684210526,294.40489905872556,0.4814295731672722,1.0012489465006722,True
Horseshoe,500,200,1,0.01086419088193635,0.05789473684210526,281.30779739084807,,1.0021075772636918,True
AEH,500,200,2,0.014375583319590038,0.11052631578947368,294.9730525689736,0.47214318089406104,1.0288115871333752,True
Horseshoe,500,200,2,0.016349485733371964,0.10526315789473684,296.2355793288906,,1.0034216872544204,True
AEH,500,200,3,0.009632322474957593,0.08421052631578947,293.21538444956497,0.4657370718167423,1.050568041384602,False
Horseshoe,500,200,3,0.010775434824335357,0.08947368421052632,296.1570793687277,,1.0047871483958168,True
AEH,500,200,4,0.01707145399154452,0.08947368421052632,294.1624866482601,0.47729515487538043,1.0012571243514221,True
Horseshoe,500,200,4,0.018975267782535003,0.08947368421052632,291.7005518583132,,1.0025977864827662,True
AEH,500,200,5,0.01626192161414048,0.08421052631578947,294.39804432538307,0.47722595000499,1.005250625927244,True
Horseshoe,500,200,5,0.018570913068746447,0.08421052631578947,297.741206534702,,1.00192419605048,True
AEH,500,200,6,0.012337598034339523,0.08947368421052632,293.17910880157507,0.4788562954007628,1.0351076451512746,True
Horseshoe,500,200,6,0.01422160677241419,0.08947368421052632,294.52595162784183,,1.0044904463792383,True
AEH,500,200,7,0.002866954679275531,0.1,292.9731539403853,0.45917676551142184,1.0010341885386687,True
Horseshoe,500,200,7,0.0033034158194834963,0.09473684210526316,291.05767235585,,1.0021505400294868,True
AEH,500,200,8,0.017716313045767502,0.11052631578947368,288.3657905885789,0.45734020728818914,1.032226744248416,True
Horseshoe,500,200,8,0.019814211301185183,0.11052631578947368,303.20377231897606,,1.1000508651064407,False
AEH,500,200,9,0.008171470413824055,0.12631578947368421,295.2121996535074,0.46600718870836305,1.0255650054145087,True
Horseshoe,500,200,9,0.008829846511008883,0.11578947368421053,292.4997548085344,,1.0024395822245005,True
AEH,500,200,10,0.015572387331192419,0.05263157894736842,294.8674790440759,0.4673072231666562,1.0037145145016113,True
Horseshoe,500,200,10,0.01809205563813086,0.05263157894736842,288.9199191086654,,1.0030618168470615,True
AEH,500,200,11,0.02248714061158618,0.07894736842105263,293.0823116869329,0.47357477728588027,1.0077663073887297,True
Horseshoe,500,200,11,0.02581603046453141,0.07894736842105263,295.221059850553,,1.0011007678041965,True
AEH,500,200,12,0.010090180276340852,0.12631578947368421,296.26266350827945,0.4714466194397263,1.0029610748564328,True
Horseshoe,500,200,12,0.011287187273932256,0.12631578947368421,295.71136884577504,,1.0037934828329271,True
AEH,500,200,13,0.015964782217410965,0.06315789473684211,292.4283241591162,0.4765714687950477,1.0115675067056245,True
Horseshoe,500,200,13,0.0182049386101669,0.06315789473684211,297.90360583062045,,1.0018062422950667,True
AEH,500,200,14,0.011966160824062468,0.07894736842105263,296.36867065378715,0.4937714478495473,1.0012330279158057,True
Horseshoe,500,200,14,0.013321811448693027,0.07368421052631578,285.85787138954066,,1.00245448611115,True
AEH,500,200,15,0.010000623933736654,0.07894736842105263,291.7164901606014,0.47910166259550224,1.0211909368347556,True
Horseshoe,500,200,15,0.011205128113447522,0.07368421052631578,289.0175688003143,,1.0232452358751345,True
AEH,500,200,16,0.016199410520817296,0.08947368421052632,298.59069724091455,0.4760615138145392,1.023817014813649,True
Horseshoe,500,200,16,0.01860036934368752,0.08421052631578947,294.5651691393099,,1.0013770009368594,True
AEH,500,200,17,0.01222543818336368,0.11052631578947368,298.30482855529584,0.46567463657392094,1.0286210367082649,True
Horseshoe,500,200,17,0.013551214559867223,0.10526315789473684,297.9518181021724,,1.002231358118097,True
AEH,500,200,18,0.010528207883321903,0.14210526315789473,296.83174068774485,0.4678882293383977,1.001704571891783,True
Horseshoe,500,200,18,0.01212214355243203,0.14210526315789473,296.9858197761317,,1.0009497225960051,True
AEH,500,200,19,0.010387208907790244,0.06315789473684211,298.1109654497603,0.4735087731899632,1.0161432208912664,True
Horseshoe,500,200,19,0.011815843082716201,0.05789473684210526,297.0398192197814,,1.0018958968854272,True
AEH,500,200,20,0.012140821829285425,0.11578947368421053,285.4411127408646,0.4710683181664713,1.0352947472296383,True
Horseshoe,500,200,20,0.014446396563045175,0.12631578947368421,293.96258373246985,,1.0477599928724102,True
AEH,500,200,21,0.010378024368197427,0.11578947368421053,292.22721806093085,0.4795089810482715,1.0350610763822725,True
Horseshoe,500,200,21,0.012143336867685744,0.11052631578947368,294.1640345562435,,1.0023977255093783,True
AEH,500,200,22,0.02795718705731151,0.08421052631578947,292.5568266019207,0.469680337104482,1.0125093418087574,True
Horseshoe,500,200,22,0.033037522195885564,0.07894736842105263,294.7483967405792,,1.0016048406676512,True
AEH,500,200,23,0.0072793580920444715,0.05263157894736842,298.87320447618436,0.4783877493707459,1.0263157271881638,True
Horseshoe,500,200,23,0.008226322156518463,0.03684210526315789,300.2645433638891,,1.003708868363219,True
AEH,500,200,24,0.010257544246188759,0.12105263157894737,293.17929539441326,0.47067150091537757,1.0023296982665242,True
Horseshoe,500,200,24,0.01153615498032839,0.11578947368421053,292.33780755590016,,1.0027833667131558,True
AEH,500,200,25,0.015937881557234374,0.05789473684210526,291.2095937303977,0.4925298082467253,1.0024045808067155,True
Horseshoe,500,200,25,0.017609443877543044,0.05263157894736842,293.22111533448634,,1.0017790466578547,True
AEH,500,200,26,0.020703408842427894,0.06315789473684211,294.7088513908113,0.46143636576313907,1.0018683820630059,True
Horseshoe,500,200,26,0.02375960159883891,0.05789473684210526,293.25609096582286,,1.0022081017193791,True
AEH,500,200,27,0.007520055258780649,0.11052631578947368,286.3473670018054,0.4725689464994751,1.04791261650616,True
Horseshoe,500,200,27,0.008636530532827872,0.11052631578947368,294.7961676685451,,1.0148044072743891,True
AEH,500,200,28,0.006205071912170323,0.08947368421052632,293.22967810208286,0.47787959596347995,1.0369462698327718,True
Horseshoe,500,200,28,0.0070405969277642,0.08421052631578947,295.31963703831417,,1.001764830905758,True
AEH,500,200,29,0.0171679252657226,0.07368421052631578,296.2877641967257,0.4775070518938005,1.0021910836254335,True
Horseshoe,500,200,29,0.01901675271994004,0.07368421052631578,295.26809150534564,,1.0029216824870832,True
