p,rho,replication,method,wall_clock_s,MSE_signal,FPR,bulk_ESS,converged_alpha,PICP_90,rhat_max,converged_ok
50,0.5,19,Horseshoe,2.3656626000010874,,,,,,1.1281846976715124,False
50,0.5,19,Regularized Horseshoe,2.0654878999921493,0.007400986250782173,0.2,267.4948822865958,,,1.0026256383130794,True
50,0.5,20,AEH,2.7226328999968246,,,,,,1.0718096709686946,False
50,0.5,20,Horseshoe,5.933891300024698,0.005977622950259901,0.15,263.57383982420464,,,1.02401047464636,True
50,0.5,20,Regularized Horseshoe,6.561751600005664,0.006545678337950761,0.15,276.64835484952494,,,1.0029685821566123,True
50,0.5,21,AEH,5.831575099990005,0.006419335148312244,0.2,234.55200016780367,0.5205842722490338,,1.017714589660579,True
50,0.5,21,Horseshoe,6.336112399992999,0.006853247102422114,0.2,265.92786054491074,,,1.038650458344006,True
50,0.5,21,Regularized Horseshoe,5.570887200010475,0.006851705491376592,0.15,258.8924879968876,,,1.0024235937671315,True
50,0.5,22,AEH,6.674823199980892,,,,,,1.0732232426578474,False
50,0.5,22,Horseshoe,5.765281699976185,0.006227280017848047,0.05,259.782939914466,,,1.0415862014963189,True
50,0.5,22,Regularized Horseshoe,5.752213400002802,0.0074149457829269395,0.05,266.2789018134315,,,1.0025300525417187,True
50,0.5,23,AEH,5.435829800000647,,,,,,1.0570857142064576,False
50,0.5,23,Horseshoe,4.472438199998578,0.006442323304161168,0.025,252.3116006452599,,,1.0433944606712249,True
50,0.5,23,Regularized Horseshoe,4.549055700015742,0.006156362557694401,0.05,259.54509849318265,,,1.0034530392323653,True
50,0.5,24,AEH,5.458184799994342,0.007729054530464921,0.2,188.2251377821746,0.5231297048821153,,1.0173213207098635,True
50,0.5,24,Horseshoe,6.152508699975442,0.008024052192815264,0.2,242.8048662047503,,,1.041268042585239,True
50,0.5,24,Regularized Horseshoe,4.937476799997967,0.00781934049458053,0.2,260.63684414800616,,,1.0055761548105775,True
50,0.5,25,AEH,6.992044500017073,,,,,,1.0674552912361224,False
50,0.5,25,Horseshoe,6.056966400006786,0.008482654095593654,0.175,255.29530708987667,,,1.0363341086877846,True
50,0.5,25,Regularized Horseshoe,6.273597399995197,0.009491700042469861,0.125,275.9401494779879,,,1.0025202108419058,True
50,0.5,26,AEH,6.475015200005146,,,,,,1.0570255246231466,False
50,0.5,26,Horseshoe,5.9588045999989845,0.00902651929474028,0.075,248.05290918009962,,,1.0250570439105102,True
50,0.5,26,Regularized Horseshoe,6.148566699994262,0.008796245256678416,0.1,272.00246567349467,,,1.001943900728499,True
50,0.5,27,AEH,7.975620899989735,,,,,,1.0645205561685551,False
50,0.5,27,Horseshoe,6.695440199982841,0.006570132398012957,0.125,267.4445979449423,,,1.0223902372236724,True
50,0.5,27,Regularized Horseshoe,5.7285095999832265,,,,,,2.5169574999670195,False
50,0.5,28,AEH,7.412931599974399,0.0053426780193194644,0.125,233.61893088106947,0.5242489162362728,,1.0298419469849793,True
50,0.5,28,Horseshoe,4.9391310999926645,0.005556720915867693,0.125,269.40275297161895,,,1.0322493934948733,True
50,0.5,28,Regularized Horseshoe,4.347140400001081,0.006070002294560608,0.125,259.97569017086795,,,1.006101006259197,True
50,0.5,29,AEH,7.743511300010141,0.0020961122128886275,0.2,254.3722899764556,0.5249858824929736,,1.0058650739427146,True
50,0.5,29,Horseshoe,7.637879999994766,0.0020160046629905553,0.175,260.4787888900642,,,1.0343328601894346,True
50,0.5,29,Regularized Horseshoe,7.015383999998448,0.0019578234059020212,0.15,276.1249441564752,,,1.004126220712856,True
50,0.7,0,AEH,6.730636699998286,0.005584682555851194,0.075,277.6312015515906,0.47215504520391394,,1.0222951485258664,True
50,0.7,0,Horseshoe,6.829980000009527,0.006292437089203992,0.05,278.22180100128475,,,1.0173818443010763,True
50,0.7,0,Regularized Horseshoe,6.233460400020704,0.006444732729438511,0.05,239.74487850636189,,,1.011222771821587,True
50,0.7,1,AEH,7.956407499994384,,,,,,1.0747116019287644,False
50,0.7,1,Horseshoe,6.864442199992482,,,,,,1.0648485823966294,False
50,0.7,1,Regularized Horseshoe,5.17897430001176,,,,,,3.4302328451450332,False
50,0.7,2,AEH,7.070506699994439,0.00934085885015591,0.175,261.0270941443334,0.47630511777682105,,1.0209127058184433,True
50,0.7,2,Horseshoe,5.181792599993059,0.010145227416642774,0.175,274.5701731423717,,,1.0233589526720173,True
50,0.7,2,Regularized Horseshoe,4.909583600005135,0.009918036274901305,0.2,268.0632148936628,,,1.0113424005332405,True
50,0.7,3,AEH,5.28657490000478,0.007370036847673432,0.125,267.5966992607797,0.4781364286393378,,1.0256788499021117,True
50,0.7,3,Horseshoe,5.09697650000453,0.007967493101486287,0.125,265.002204858233,,,1.0143575644808596,True
50,0.7,3,Regularized Horseshoe,7.463689800002612,0.00778676176569796,0.1,242.6441443452981,,,1.005114392091739,True
50,0.7,4,AEH,8.149042999983067,,,,,,1.0528343784154377,False
50,0.7,4,Horseshoe,6.633189999993192,,,,,,1.0598789804582356,False
50,0.7,4,Regularized Horseshoe,4.280539100000169,0.01014341479371483,0.1,230.72386248707687,,,1.0164903129672724,True
50,0.7,5,AEH,7.95220369999879,,,,,,1.0622421349103164,False
50,0.7,5,Horseshoe,6.89733909998904,0.015948165377650057,0.1,247.09743098894523,,,1.0289604409799296,True
50,0.7,5,Regularized Horseshoe,4.324284600006649,0.016287281749139577,0.1,250.58427556869668,,,1.0352700548598412,True
50,0.7,6,AEH,6.010544199991273,0.0007412766852974401,0.175,246.93004186593475,0.47271996630486124,,1.0338692673651217,True
50,0.7,6,Horseshoe,4.640463199990336,0.0007028599035538493,0.175,270.32398306015216,,,1.0083334095825858,True
50,0.7,6,Regularized Horseshoe,4.525880800007144,0.0006626042763352974,0.15,268.7843446888561,,,1.0074560259744019,True
50,0.7,7,AEH,7.237184199999319,,,,,,1.050911124330059,False
50,0.7,7,Horseshoe,7.17519480001647,0.0071751988645832685,0.125,245.68610444869972,,,1.0138736086743285,True
50,0.7,7,Regularized Horseshoe,5.835361300007207,0.006556008912844659,0.125,269.5188354084683,,,1.0073469712788503,True
50,0.7,8,AEH,6.3204502999724355,0.0047048559553975865,0.125,257.76493733089666,0.48196801912024945,,1.0413174764400377,True
50,0.7,8,Horseshoe,6.783293699991191,0.005334084278268445,0.125,262.7075788118836,,,1.0074699418314612,True
50,0.7,8,Regularized Horseshoe,6.426684900012333,0.005671470916139075,0.125,259.0340789568106,,,1.0059972777436874,True
50,0.7,9,AEH,6.8150365999899805,0.006400579468634919,0.175,239.1157735132284,0.47347168086834235,,1.035580137945704,True
50,0.7,9,Horseshoe,6.027751200017519,0.006649830699326248,0.15,275.32465411084314,,,1.0100507793393598,True
50,0.7,9,Regularized Horseshoe,6.861908799997764,0.0064808737981520165,0.15,260.92554641071547,,,1.0038052894149745,True
50,0.7,10,AEH,5.403550799994264,0.008120491335018302,0.05,225.35824586190364,0.4780599274562095,,1.0486710227981832,True
50,0.7,10,Horseshoe,6.028216200007591,0.008951390265817937,0.075,256.1130102319818,,,1.0146377143443073,True
50,0.7,10,Regularized Horseshoe,5.909771299979184,0.00793836830746212,0.075,240.82206207828415,,,1.0025583119944257,True
50,0.7,11,AEH,6.146082000021124,0.01337633485316235,0.175,224.76728457039007,0.4624715065627275,,1.034765664260914,True
50,0.7,11,Horseshoe,6.159353099996224,0.014435117107670491,0.2,267.07282374474363,,,1.0306783354259945,True
50,0.7,11,Regularized Horseshoe,5.70070630000555,0.014477140614388234,0.15,257.66622525318473,,,1.0036887062236184,True
50,0.7,12,AEH,7.196049499994842,,,,,,1.0662809739159147,False
50,0.7,12,Horseshoe,6.194180999998935,,,,,,1.1162583125393024,False
50,0.7,12,Regularized Horseshoe,5.59184120001737,0.028260107719934324,0.125,270.3492210876631,,,1.0051506871132274,True
50,0.7,13,AEH,7.211890200007474,0.010338259871704602,0.15,234.11615990049452,0.469822049539517,,1.0079750349771477,True
50,0.7,13,Horseshoe,7.051557900005719,,,,,,1.076483512008557,False
50,0.7,13,Regularized Horseshoe,6.137291000020923,0.011335204455288215,0.15,252.9099908226659,,,1.0168228574197418,True
50,0.7,14,AEH,6.84624939999776,,,,,,1.0754950411129511,False
50,0.7,14,Horseshoe,5.921219599986216,0.00422857066471965,0.15,264.1447973556853,,,1.0282625622771424,True
50,0.7,14,Regularized Horseshoe,5.585702699987451,0.0035670220147878532,0.15,264.42092984201145,,,1.0068863222340807,True
50,0.7,15,AEH,6.161518700013403,0.011949394795913046,0.075,196.61870530169017,0.4806019860668368,,1.0493120564437095,True
50,0.7,15,Horseshoe,5.870462199993199,0.013820314446492557,0.075,228.0628561223292,,,1.0443869811757756,True
50,0.7,15,Regularized Horseshoe,5.177903499978129,,,,,,1.5990992969805062,False
50,0.7,16,AEH,7.712482500006445,0.010877299881689676,0.225,273.1154557358465,0.4485482218922735,,1.0109266954171745,True
50,0.7,16,Horseshoe,6.1904658999992535,,,,,,1.0981512299869394,False
50,0.7,16,Regularized Horseshoe,6.063549599988619,0.010877077948151875,0.15,272.08356342741905,,,1.0043274476386999,True
50,0.7,17,AEH,7.565050800010795,0.007778040264861688,0.175,255.59156523343322,0.46893391779882754,,1.0465849148459911,True
50,0.7,17,Horseshoe,6.935577900003409,0.008733254642855596,0.075,266.5602286340356,,,1.0060146595507324,True
50,0.7,17,Regularized Horseshoe,6.180075199983548,0.00943175912648636,0.075,231.87703149121484,,,1.0086180634982171,True
50,0.7,18,AEH,7.3575915999826975,,,,,,1.0720055197298848,False
50,0.7,18,Horseshoe,6.815994400007185,0.0040586496430933825,0.075,256.4039076188408,,,1.03478844244437,True
50,0.7,18,Regularized Horseshoe,6.075516399985645,0.004779685099766309,0.075,239.8124309837528,,,1.0022291226358049,True
50,0.7,19,AEH,6.939922099991236,,,,,,1.0707220732277758,False
50,0.7,19,Horseshoe,6.7185585999977775,0.010667351497448168,0.3,260.53510285808966,,,1.02232975058135,True
50,0.7,19,Regularized Horseshoe,6.146491399995284,0.0097699795152951,0.2,264.9257565984348,,,1.0052604997119863,True
50,0.7,20,AEH,6.707294899999397,0.009845269072799905,0.15,253.74559597904707,0.45854644374498854,,1.0316220366450748,True
50,0.7,20,Horseshoe,5.15551919999416,0.010578050398272695,0.15,282.2380163748707,,,1.0261069450956364,True
50,0.7,20,Regularized Horseshoe,5.32698110002093,0.009924058315517206,0.15,252.8685617990144,,,1.0035388667297167,True
50,0.7,21,AEH,6.423739299993031,0.011296114574957368,0.15,228.47369467631856,0.4702824219213406,,1.0121652452809584,True
50,0.7,21,Horseshoe,6.361266499996418,,,,,,1.0710054333211454,False
50,0.7,21,Regularized Horseshoe,5.185811700008344,0.01252948542434124,0.1,242.78317400932627,,,1.0052380200701798,True
