p,rho,replication,method,wall_clock_s,MSE_signal,FPR,bulk_ESS,converged_alpha,PICP_90,rhat_max,converged_ok
50,0.9,21,AEH,7.571506300009787,,,,,,1.5622615575316168,False
50,0.9,21,Horseshoe,7.211301600007573,0.04162080812252665,0.1,239.2405915898368,,,1.0420085904971943,True
50,0.9,21,Regularized Horseshoe,6.043579899996985,0.0425530110760233,0.125,222.4749110554994,,,1.009149188421168,True
50,0.9,22,AEH,9.250313399999868,,,,,,1.9251837729698926,False
50,0.9,22,Horseshoe,6.8616075000027195,0.008869549582142713,0.15,238.9600823543077,,,1.0260434026506484,True
50,0.9,22,Regularized Horseshoe,6.3938914999889676,0.009103469023578623,0.125,248.09650923726795,,,1.004928233654386,True
50,0.9,23,AEH,7.724533100001281,,,,,,1.101607765384908,False
50,0.9,23,Horseshoe,7.103545899997698,0.029909421260200693,0.05,250.2804029711885,,,1.0062694129613967,True
50,0.9,23,Regularized Horseshoe,6.700355700013461,0.030723617240225858,0.05,233.422980886281,,,1.0258136765191281,True
50,0.9,24,AEH,7.803877199999988,,,,,,1458.12603763639,False
50,0.9,24,Horseshoe,6.729654800001299,0.026099035298197616,0.175,134.11125103798346,,,1.0430333858677172,True
50,0.9,24,Regularized Horseshoe,6.1922051000001375,0.026084699254249145,0.175,250.7088279877079,,,1.0185036800695035,True
50,0.9,25,AEH,8.647254700015765,0.03294001019843045,0.2,256.493615102365,0.33938608612714616,,1.0102350255185182,True
50,0.9,25,Horseshoe,7.205132100003539,0.045696958990050385,0.175,253.30890615112665,,,1.0295853912282225,True
50,0.9,25,Regularized Horseshoe,5.370105599984527,0.04967764784159144,0.175,225.70327428473763,,,1.0158078624267797,True
50,0.9,26,AEH,5.744543900014833,0.03621078021871607,0.075,252.4058432255377,0.3599386161827954,,1.0361996299755742,True
50,0.9,26,Horseshoe,6.690149000001838,0.047168448778153176,0.125,261.27010398088186,,,1.0171972136783507,True
50,0.9,26,Regularized Horseshoe,7.635867800010601,0.04561776298670946,0.05,247.88884321633347,,,1.0101478600937732,True
50,0.9,27,AEH,8.724825300014345,0.029495887210913674,0.1,252.29528131242273,0.3445307559393632,,1.0278403397438074,True
50,0.9,27,Horseshoe,7.015232799982186,0.04063898279356872,0.1,266.54729098544817,,,1.016180287646607,True
50,0.9,27,Regularized Horseshoe,6.659851200005505,0.04438809968523606,0.1,242.11186593753536,,,1.0222102075686021,True
50,0.9,28,AEH,7.249532499990892,0.023929508910400805,0.1,249.27911277559474,0.36122468999947627,,1.0383900721914627,True
50,0.9,28,Horseshoe,6.741387699992629,0.03167430719528287,0.1,273.3938363571363,,,1.0128079398615235,True
50,0.9,28,Regularized Horseshoe,6.344836300006136,0.03379635425839253,0.1,226.64822186652512,,,1.0206399783071045,True
50,0.9,29,AEH,5.7193167000077665,,,,,,1.7959889091849026,False
50,0.9,29,Horseshoe,6.921936800004914,0.008677146105067477,0.15,253.52484336846686,,,1.012963191828889,True
50,0.9,29,Regularized Horseshoe,6.819155199977104,0.0076208849590567425,0.15,250.14029654885576,,,1.0103318498393181,True
200,0.5,0,AEH,90.27378039999167,0.01235919503070062,0.3,267.4850647584812,0.625072556430882,,1.0094395011247346,True
200,0.5,0,Horseshoe,86.2049242000212,0.013978139334883597,0.29473684210526313,267.3661194578345,,,1.0056748970693867,True
200,0.5,0,Regularized Horseshoe,83.31885280000279,,,,,,136.02148801034667,False
200,0.5,1,AEH,89.77946609997889,0.011079709471983194,0.38421052631578945,260.4996613860271,0.6179832738123366,,1.0125302801724623,True
200,0.5,1,Horseshoe,86.50050279998686,0.012354625171633282,0.3684210526315789,247.52840915215532,,,1.0180836842841605,True
200,0.5,1,Regularized Horseshoe,83.54059980000602,,,,,,1.218298229518995,False
200,0.5,2,AEH,88.83033460000297,0.01626892171613859,0.3894736842105263,266.90961297876277,0.6129707740288756,,1.0080795932180024,True
200,0.5,2,Horseshoe,85.09990939998534,0.01870298459633247,0.35789473684210527,260.45026528035487,,,1.0125104616649552,True
200,0.5,2,Regularized Horseshoe,85.81132799998159,,,,,,1.4278610353509253,False
200,0.5,3,AEH,84.84403529998963,0.014849046230620246,0.34210526315789475,274.04301217796825,0.610370166673477,,1.0072901574538142,True
200,0.5,3,Horseshoe,87.24373159999959,0.016861262317805603,0.30526315789473685,271.75338398242076,,,1.0066889700626442,True
200,0.5,3,Regularized Horseshoe,83.30315440002596,,,,,,29.083336443671175,False
200,0.5,4,AEH,87.6375684000086,0.016366292898785134,0.32105263157894737,264.8866353795213,0.6201669355045433,,1.008301846612842,True
200,0.5,4,Horseshoe,142.2556205999863,0.01998691526659848,0.32105263157894737,261.93279173470927,,,1.013435659966092,True
200,0.5,4,Regularized Horseshoe,179.0864450999943,,,,,,156.59178778454338,False
200,0.5,5,AEH,203.38128979998874,0.011892910586208047,0.4052631578947368,262.08493042881446,0.6158942096122663,,1.0095610386447262,True
200,0.5,5,Horseshoe,200.34504869999364,0.013800148515645469,0.38421052631578945,261.2381557543901,,,1.0250486750106287,True
200,0.5,5,Regularized Horseshoe,173.11739699999453,,,,,,130.6370876192544,False
200,0.5,6,AEH,146.8935729000077,0.020804163697458113,0.3526315789473684,261.825395184897,0.6107789294737815,,1.00960350898467,True
200,0.5,6,Horseshoe,89.38735760000418,0.02351016146593407,0.33157894736842103,260.68475034366696,,,1.004323679390384,True
200,0.5,6,Regularized Horseshoe,87.2777109000017,,,,,,1.3261119770745202,False
200,0.5,7,AEH,92.63442570000188,0.0211885991062888,0.28421052631578947,253.5233443311206,0.6162784193824496,,1.0055004337324664,True
200,0.5,7,Horseshoe,91.11145970001235,0.024651637795421604,0.28421052631578947,243.89183309593417,,,1.0059887723988938,True
200,0.5,7,Regularized Horseshoe,87.30560140000307,,,,,,1.793714894134728,False
200,0.5,8,AEH,89.23830980001367,0.005981770667770668,0.3157894736842105,261.82606249339426,0.605135577122808,,1.0068895510847067,True
200,0.5,8,Horseshoe,117.78532269998686,0.006870210649560079,0.2894736842105263,261.7615719539403,,,1.0063625841206898,True
200,0.5,8,Regularized Horseshoe,127.54246359999524,,,,,,1.2908942942800306,False
200,0.5,9,AEH,160.28469400000176,0.00799466638512419,0.45263157894736844,260.7693081378409,0.5995646229423653,,1.0133619818244035,True
200,0.5,9,Horseshoe,136.20757310002227,0.008708152735301285,0.4368421052631579,260.0695522718568,,,1.0074135803712523,True
200,0.5,9,Regularized Horseshoe,121.90543750001234,,,,,,1.975996654615269,False
200,0.5,10,AEH,113.61419549997663,0.008401983534382719,0.43157894736842106,261.4474716326563,0.6001267207240165,,1.0077789463798845,True
200,0.5,10,Horseshoe,121.91219020000426,0.008876495263267071,0.4263157894736842,252.00524721841668,,,1.0060021649185058,True
200,0.5,10,Regularized Horseshoe,94.04564130000654,,,,,,100.15261685566234,False
200,0.5,11,AEH,97.77051140001277,0.01263958251405974,0.4421052631578947,267.07562522631804,0.6111283615845217,,1.0073048379248217,True
200,0.5,11,Horseshoe,88.53239189999294,0.013806665021725483,0.4052631578947368,260.74258585766876,,,1.0298251956825368,True
200,0.5,11,Regularized Horseshoe,89.84439600000042,,,,,,21.545082109535112,False
200,0.5,12,AEH,87.89756050001597,0.009791636039074706,0.4421052631578947,267.2466381881254,0.598045795046865,,1.01068512555901,True
200,0.5,12,Horseshoe,121.87707269997918,0.010504890144821723,0.42105263157894735,263.59261826269363,,,1.0112038556998615,True
200,0.5,12,Regularized Horseshoe,114.99786169998697,,,,,,1.4421004334026206,False
200,0.5,13,AEH,113.15981120002107,0.011665034344232258,0.3736842105263158,259.046325067833,0.6159820556478365,,1.0068247686918979,True
200,0.5,13,Horseshoe,111.80968000000576,0.013311555123619031,0.3526315789473684,252.31010865553966,,,1.0045597721814812,True
200,0.5,13,Regularized Horseshoe,100.65268440000364,,,,,,1.4623917122561532,False
200,0.5,14,AEH,117.56657379999524,0.01193263734553519,0.39473684210526316,245.23212717747134,0.6066938381373639,,1.010891508047618,True
200,0.5,14,Horseshoe,144.79352350000408,0.012566184430043587,0.37894736842105264,227.61158124364306,,,1.0072309520380527,True
200,0.5,14,Regularized Horseshoe,95.827676099987,,,,,,2.6218897887981036,False
200,0.5,15,AEH,132.80104680001386,0.014377635329651453,0.4842105263157895,260.8052890847883,0.5952065095571066,,1.0141679025629042,True
200,0.5,15,Horseshoe,129.3624478999991,0.015068107435189618,0.45263157894736844,260.9986895335079,,,1.011797862653973,True
200,0.5,15,Regularized Horseshoe,107.67816109998967,,,,,,169.20584494949023,False
200,0.5,16,AEH,110.08888999998453,0.014191245619309237,0.3105263157894737,254.7822472673826,0.6219879760143462,,1.0128040174028328,True
200,0.5,16,Horseshoe,98.7360249000194,0.015378776632864721,0.2894736842105263,246.99684542576648,,,1.0052014802830507,True
200,0.5,16,Regularized Horseshoe,97.79034800000954,,,,,,183.7690198064365,False
200,0.5,17,AEH,95.7305794999993,0.010934357761966749,0.38421052631578945,259.3073078957803,0.6100358764110233,,1.0104511835650474,True
200,0.5,17,Horseshoe,94.15319740000996,0.012099949176166086,0.3631578947368421,255.65384268090963,,,1.0113608069080675,True
200,0.5,17,Regularized Horseshoe,94.4922082000121,,,,,,1.3416121509328718,False
200,0.5,18,AEH,98.52647330000764,0.02372677251053979,0.3736842105263158,258.31538606744806,0.6080560502054174,,1.0075857765901892,True
200,0.5,18,Horseshoe,96.0559043000103,0.026297263684478118,0.37894736842105264,258.0429270590751,,,1.0101521816212162,True
200,0.5,18,Regularized Horseshoe,94.26223659998504,,,,,,178.75474271920768,False
200,0.5,19,AEH,121.10991989998729,0.005638998471100177,0.39473684210526316,268.34644940087315,0.6013594582841727,,1.0103623087376323,True
200,0.5,19,Horseshoe,92.15565100000822,0.006070976927400925,0.38421052631578945,265.23251558777,,,1.0094630160391254,True
200,0.5,19,Regularized Horseshoe,205.1239213999943,,,,,,1.8524816126970722,False
200,0.5,20,AEH,187.03784679999808,0.004309098126890345,0.45789473684210524,259.1688550204609,0.6052300659276785,,1.0091384283201275,True
200,0.5,20,Horseshoe,116.27216270001372,0.0046012363556611705,0.41578947368421054,258.03792296910393,,,1.0100277323828448,True
200,0.5,20,Regularized Horseshoe,92.38634040000034,,,,,,1.3512058762523067,False
200,0.5,21,AEH,184.4457742999948,0.018849160142799533,0.35789473684210527,257.2011697435793,0.6149582276491202,,1.006051758354078,True
200,0.5,21,Horseshoe,182.18699570000172,0.021503458407454108,0.3473684210526316,246.39006534714426,,,1.0042214084616565,True
200,0.5,21,Regularized Horseshoe,141.86008449998917,,,,,,39.77185243955074,False
200,0.5,22,AEH,115.8684104999993,0.01570582267327105,0.3684210526315789,259.0279174376333,0.6138887332833295,,1.01000895333798,True
200,0.5,22,Horseshoe,176.3053351000126,0.01719570403233092,0.3473684210526316,258.8876124780265,,,1.0106476174586734,True
200,0.5,22,Regularized Horseshoe,184.19622310000705,,,,,,1.526537494905371,False
200,0.5,23,AEH,156.46953199998825,0.009821957308752767,0.34210526315789475,239.3554501029401,0.6187488004762894,,1.0077934431558042,True
200,0.5,23,Horseshoe,158.1347870999889,0.010843313512799204,0.32105263157894737,225.00982747203608,,,1.0059974075301699,True
200,0.5,23,Regularized Horseshoe,142.48163879997446,,,,,,1.3521415390099332,False
200,0.5,24,AEH,125.8771014000231,0.0031959026154430416,0.3263157894736842,258.65010566911843,0.6130831190406679,,1.018977967914162,True
200,0.5,24,Horseshoe,121.55648579998524,0.0037449311902888393,0.3157894736842105,257.6159953044695,,,1.005176199192197,True
200,0.5,24,Regularized Horseshoe,110.6533330999955,,,,,,1.5483138150617044,False
200,0.5,25,AEH,118.4915970999864,0.014294131076220781,0.4263157894736842,246.40769584228335,0.6049083644512807,,1.0081121030381526,True
200,0.5,25,Horseshoe,131.5866155999829,0.016752178665646125,0.41578947368421054,230.5404078877017,,,1.004459114902016,True
200,0.5,25,Regularized Horseshoe,109.07988249999471,,,,,,131.14086713032128,False
200,0.5,26,AEH,201.61517030000687,0.011621522913952003,0.4,224.3275344701581,0.594904600130924,,1.0051012634923377,True
200,0.5,26,Horseshoe,109.91434519999893,0.013054107145868016,0.37894736842105264,207.09331553445773,,,1.005824249887012,True
200,0.5,26,Regularized Horseshoe,84.94084649998695,,,,,,1.3716669799167018,False
200,0.5,27,AEH,89.10970790000283,0.004586192063254837,0.22105263157894736,268.0629691983947,0.6277916134012348,,1.0320417239856623,True
200,0.5,27,Horseshoe,84.2666254999931,0.0049365210140698,0.2,275.7595252055811,,,1.011060006848632,True
200,0.5,27,Regularized Horseshoe,85.65374690000317,,,,,,13.153763344673239,False
200,0.5,28,AEH,90.6162020000047,0.006585401451594275,0.45263157894736844,256.9966786937518,0.6078010426004595,,1.0101047980594215,True
200,0.5,28,Horseshoe,87.3507563000021,0.0075981433422360285,0.43157894736842106,255.13800552979708,,,1.0069882371490158,True
200,0.5,28,Regularized Horseshoe,85.41056699998444,,,,,,1.365138022383927,False
200,0.5,29,AEH,85.45712859998457,0.0070532177842650996,0.30526315789473685,253.72938834136775,0.6229074258530484,,1.0160934537229542,True
200,0.5,29,Horseshoe,89.01620129999355,0.007158753942588492,0.29473684210526313,243.27664154960962,,,1.0035627304913426,True
200,0.5,29,Regularized Horseshoe,84.43286910001189,,,,,,13.82724230607989,False
200,0.7,0,AEH,89.2397878000047,0.006373142091787976,0.3157894736842105,262.3328226877916,0.5601674319725466,,1.0067651062467142,True
200,0.7,0,Horseshoe,101.63683159998618,0.007441775324180786,0.3105263157894737,263.4491712909792,,,1.0269080315373227,True
200,0.7,0,Regularized Horseshoe,86.05000100002508,,,,,,1.7854450546194935,False
200,0.7,1,AEH,86.81838540002354,0.021847444908773515,0.3368421052631579,234.08451250379974,0.5755673450356266,,1.004987778448168,True
200,0.7,1,Horseshoe,102.0877891999844,0.025748059306076442,0.33157894736842103,215.32562317758737,,,1.0065764230255445,True
200,0.7,1,Regularized Horseshoe,87.11309970001457,,,,,,99.2213944005662,False
200,0.7,2,AEH,91.36694399997941,0.029863830426044274,0.3368421052631579,249.70314052674414,0.5584066419851192,,1.0177368613763833,True
200,0.7,2,Horseshoe,90.56478529999731,0.04022391927845613,0.3157894736842105,242.95303624674233,,,1.0075798808956955,True
200,0.7,2,Regularized Horseshoe,87.17717719997745,,,,,,27.159859542486466,False
200,0.7,3,AEH,92.5131137999997,0.018361510586887352,0.32105263157894737,266.90069458522487,0.5461392343013303,,1.0101275783778934,True
200,0.7,3,Horseshoe,90.36837669997476,0.023982302081971114,0.3,268.6871447255617,,,1.012134177941211,True
200,0.7,3,Regularized Horseshoe,90.74678600000334,,,,,,1.3281714233956479,False
200,0.7,4,AEH,86.6823916999856,0.023607477921568448,0.34210526315789475,254.7924081957763,0.5655407328704128,,1.0063999108840977,True
200,0.7,4,Horseshoe,93.98438569999416,0.03225891360529047,0.33157894736842103,245.0802882936092,,,1.0045087502203809,True
200,0.7,4,Regularized Horseshoe,87.13291930002742,,,,,,1.2445872522119776,False
200,0.7,5,AEH,88.23253990002559,0.03230397882824941,0.37894736842105264,254.5609052784292,0.5616714848115852,,1.0045749963848158,True
200,0.7,5,Horseshoe,95.98409029998584,0.03773385652339591,0.38421052631578945,242.15366726089871,,,1.0073048289790791,True
200,0.7,5,Regularized Horseshoe,113.9800954000093,,,,,,1.5798244930313539,False
200,0.7,6,AEH,103.76917909999611,0.028495781502639105,0.3105263157894737,257.49320323631855,0.5568369280451664,,1.0086307291075405,True
200,0.7,6,Horseshoe,100.76807030002237,0.040411675299848626,0.3157894736842105,256.6974191690286,,,1.0090256915057698,True
200,0.7,6,Regularized Horseshoe,102.7072182999982,,,,,,175.0633458456195,False
200,0.7,7,AEH,121.1575765000016,0.0279808292692456,0.21578947368421053,253.99914901867464,0.5595816094118599,,1.0081702168991895,True
200,0.7,7,Horseshoe,181.22534070000984,0.0406036879898478,0.22631578947368422,226.84795405340645,,,1.005145878605478,True
200,0.7,7,Regularized Horseshoe,175.31138300002203,,,,,,1.3651374705969916,False
200,0.7,8,AEH,173.02826199997799,0.015563010095638635,0.3631578947368421,249.45625300497056,0.5496909161080741,,1.0072462318533233,True
200,0.7,8,Horseshoe,172.38518509999267,0.01703912874393283,0.3473684210526316,253.5653645647494,,,1.005250823137067,True
200,0.7,8,Regularized Horseshoe,185.5195589000068,,,,,,71.88097732653478,False
200,0.7,9,AEH,184.62560339999618,0.013063367932679348,0.41578947368421054,250.30069675586293,0.5384908737432907,,1.0136220895235653,True
200,0.7,9,Horseshoe,153.34462560000247,0.016604677411068462,0.39473684210526316,237.9866777143079,,,1.009048414769242,True
200,0.7,9,Regularized Horseshoe,111.24318920000223,,,,,,150.43971550532484,False
200,0.7,10,AEH,193.41566599998623,0.017806232192477293,0.38421052631578945,235.76357343678706,0.5394265196325292,,1.005774910748023,True
200,0.7,10,Horseshoe,144.6180954000156,0.019795540041034797,0.35789473684210527,219.55592931844023,,,1.0077938311666026,True
200,0.7,10,Regularized Horseshoe,176.3560451999947,,,,,,259.37468111368344,False
200,0.7,11,AEH,107.95874849997927,0.013312331763402213,0.4368421052631579,255.19913792827757,0.5510088120937535,,1.012313384682623,True
200,0.7,11,Horseshoe,101.63730490001035,0.018458826844823483,0.4105263157894737,257.43156419067344,,,1.013602447398872,True
200,0.7,11,Regularized Horseshoe,108.47746370002278,,,,,,12.965204315882223,False
200,0.7,12,AEH,214.37067879998358,0.017174106754562157,0.46842105263157896,256.90982431268986,0.5481626765029933,,1.0092119886821136,True
200,0.7,12,Horseshoe,119.99885480001103,0.020012662030161325,0.45263157894736844,247.18021540036395,,,1.009329122179698,True
200,0.7,12,Regularized Horseshoe,140.90619999999763,,,,,,1.4529625530225505,False
200,0.7,13,AEH,195.4046559999988,0.014729559088640506,0.3157894736842105,256.17975986605785,0.5500536187877784,,1.0113585049225182,True
200,0.7,13,Horseshoe,168.446720500011,0.02054192726880868,0.3157894736842105,257.7295815328556,,,1.004961660977651,True
200,0.7,13,Regularized Horseshoe,180.97726859999239,,,,,,181.59798581975372,False
200,0.7,14,AEH,208.91559279998182,0.03439305227389293,0.42105263157894735,253.91725820266336,0.5535532845212582,,1.0101009719568401,True
200,0.7,14,Horseshoe,235.81983449999825,0.04538629500084253,0.43157894736842106,243.70133622929345,,,1.0062553879942326,True
200,0.7,14,Regularized Horseshoe,194.52442910001264,,,,,,1.8098455544012093,False
200,0.7,15,AEH,179.58112420001999,0.03590104086724144,0.4631578947368421,254.98330061112947,0.5440406321638303,,1.0118603825545474,True
200,0.7,15,Horseshoe,152.38842239999212,0.04173642977871094,0.4368421052631579,257.26269207728893,,,1.0070208922291746,True
200,0.7,15,Regularized Horseshoe,106.20522770000389,,,,,,156.39875509353166,False
200,0.7,16,AEH,108.26463289998355,0.021301579379918355,0.3,252.3517929639469,0.5610477773883057,,1.0232600824087328,True
200,0.7,16,Horseshoe,151.38115669999388,0.02753984262131729,0.3,240.85274842280103,,,1.0065917331589478,True
200,0.7,16,Regularized Horseshoe,182.88778920000186,,,,,,104.61127126141307,False
200,0.7,17,AEH,188.81010660002357,0.018072580787436437,0.3894736842105263,248.87898028414813,0.5478106156140592,,1.0047816741766313,True
200,0.7,17,Horseshoe,145.5249274999951,0.02221161427526768,0.3684210526315789,234.9086923401687,,,1.0045843075167658,True
200,0.7,17,Regularized Horseshoe,117.69324250001227,,,,,,130.804253378371,False
200,0.7,18,AEH,137.47353830002248,0.023639937405349646,0.39473684210526316,249.99257609445445,0.5544531596243873,,1.0066721712740383,True
200,0.7,18,Horseshoe,132.7853481999773,0.029067021385711666,0.3684210526315789,241.18694435809957,,,1.0068955295443636,True
200,0.7,18,Regularized Horseshoe,143.0809303999995,,,,,,1.2996593469055655,False
200,0.7,19,AEH,148.49734269999317,0.013573514752462944,0.37894736842105264,265.4826678016045,0.5509216449212694,,1.0096979453518868,True
200,0.7,19,Horseshoe,182.65915919997497,0.015805068254818967,0.3684210526315789,268.790673121446,,,1.008644327681525,True
200,0.7,19,Regularized Horseshoe,205.3917057000217,,,,,,1.7338258144956813,False
200,0.7,20,AEH,180.9737720999983,0.01498071989598293,0.4263157894736842,254.2365933506142,0.54775323661837,,1.0074961901105606,True
200,0.7,20,Horseshoe,185.04480289999628,0.016476729448802158,0.4,253.94418838153695,,,1.0074855252764447,True
200,0.7,20,Regularized Horseshoe,204.32307939999737,,,,,,44.232449179150755,False
200,0.7,21,AEH,181.90798739998718,0.024182669009330977,0.3736842105263158,242.8065694774388,0.5585614726252882,,1.0108618430312744,True
200,0.7,21,Horseshoe,188.09559750001063,0.030670901710426364,0.3631578947368421,227.1972936677343,,,1.006591108725671,True
200,0.7,21,Regularized Horseshoe,191.80387229999178,,,,,,1.3704771742813266,False
200,0.7,22,AEH,113.4624244000006,0.01858228060910798,0.33157894736842103,256.75415294156466,0.5618936001531379,,1.0070595187942089,True
200,0.7,22,Horseshoe,100.5001229000045,0.023642173868176707,0.3263157894736842,255.28168142926384,,,1.0079612393503747,True
200,0.7,22,Regularized Horseshoe,101.23081800001091,,,,,,1.5897570989963243,False
200,0.7,23,AEH,104.04784220000147,0.006347462125485835,0.3368421052631579,249.0100729841045,0.5631748370958035,,1.0086003617397241,True
200,0.7,23,Horseshoe,120.76440910002566,0.008738316578924729,0.3157894736842105,247.75343175594466,,,1.0110187797475438,True
200,0.7,23,Regularized Horseshoe,174.01416800002335,,,,,,1.367056375369641,False
200,0.7,24,AEH,212.9908041000017,0.008518567884501014,0.34210526315789475,257.3006270221109,0.5483702417195311,,1.0127789501179922,True
200,0.7,24,Horseshoe,210.609388700017,0.010673056278472693,0.3368421052631579,253.76597971915865,,,1.0066873890349368,True
200,0.7,24,Regularized Horseshoe,178.04623009997886,,,,,,1.7483734225353287,False
200,0.7,25,AEH,188.93667759999516,0.023641489280488974,0.45263157894736844,250.53737894756046,0.5496585109023271,,1.0110455838810422,True
200,0.7,25,Horseshoe,190.98214690000168,0.03169487368096155,0.4473684210526316,239.18197642074702,,,1.0071214892382252,True
200,0.7,25,Regularized Horseshoe,162.74471840000479,,,,,,158.22161419025863,False
200,0.7,26,AEH,96.50144600000931,0.022423059890584917,0.4,260.0984153798803,0.5412181041621253,,1.006565166654627,True
200,0.7,26,Horseshoe,88.93328709999332,0.027525021064278836,0.4105263157894737,248.59198474579088,,,1.007975508491503,True
200,0.7,26,Regularized Horseshoe,92.39435909999884,,,,,,1.6384181255457446,False
200,0.7,27,AEH,91.15990619998774,0.00788422709168262,0.24210526315789474,272.5536071686589,0.5689327177675038,,1.0259335042329918,True
200,0.7,27,Horseshoe,94.08116329999757,0.009398785910374258,0.22105263157894736,266.98157903674354,,,1.007298903658211,True
200,0.7,27,Regularized Horseshoe,86.60208679997595,,,,,,129.11601987236887,False
200,0.7,28,AEH,90.16040999998222,0.01633832016902971,0.4052631578947368,254.58155437380825,0.5505645687469736,,1.0111663770284798,True
200,0.7,28,Horseshoe,170.09378149997792,0.02100172534797278,0.4,255.036335890384,,,1.0060541833962422,True
200,0.7,28,Regularized Horseshoe,189.89870390002034,,,,,,1.3080110485202938,False
200,0.7,29,AEH,185.7338195000193,0.009011071098735314,0.3526315789473684,245.85060019826204,0.5604960874942784,,1.0163954767603396,True
200,0.7,29,Horseshoe,143.00999669998419,0.009657939420551452,0.32105263157894737,229.97999048961566,,,1.005492093209771,True
200,0.7,29,Regularized Horseshoe,97.77537980000488,,,,,,187.73645008921204,False
200,0.9,0,AEH,98.3879345000023,0.014591350701111372,0.30526315789473685,256.0927024230707,0.4353108678451487,,1.008447850187525,True
200,0.9,0,Horseshoe,93.78750459998264,0.024934156568722575,0.3,254.500906698957,,,1.0167741179065752,True
200,0.9,0,Regularized Horseshoe,93.83954929999891,,,,,,1.9189877603788548,False
200,0.9,1,AEH,90.76534129999345,0.05073643529403617,0.3684210526315789,252.400276288534,0.4469642727914505,,1.0074574597664894,True
200,0.9,1,Horseshoe,104.88366170000518,0.08244538735722332,0.3473684210526316,241.2434580734936,,,1.008630531011421,True
200,0.9,1,Regularized Horseshoe,97.24364069997682,,,,,,2.3361166440481482,False
200,0.9,2,AEH,89.97835200000554,0.06231579254226306,0.30526315789473685,238.7401761965288,0.4413035750448176,,1.0098349151458517,True
200,0.9,2,Horseshoe,90.45595070000854,0.1292147347110536,0.29473684210526313,235.25443781402842,,,1.015558137492303,True
200,0.9,2,Regularized Horseshoe,86.01778529997682,,,,,,17.43708494043179,False
200,0.9,3,AEH,97.48141629999736,0.056381129905829795,0.30526315789473685,261.50215272254434,0.42639603368780943,,1.0113128203128636,True
200,0.9,3,Horseshoe,89.45307780001895,0.10346789192571741,0.3,260.54105761606456,,,1.0114245682006462,True
200,0.9,3,Regularized Horseshoe,94.24761500000022,,,,,,88.49075872691917,False
200,0.9,4,AEH,88.94017079999321,0.05501436763602123,0.3526315789473684,253.55547177238054,0.4359143615480042,,1.0132753997957393,True
200,0.9,4,Horseshoe,89.33610449999105,0.11376688237954029,0.3736842105263158,249.3678499066147,,,1.0124159749931971,True
200,0.9,4,Regularized Horseshoe,83.90979970002081,,,,,,108.51457862500898,False
200,0.9,5,AEH,94.1884427999903,0.0586136487955892,0.32105263157894737,245.41846199005911,0.44121968379775345,,1.0114902025946209,True
200,0.9,5,Horseshoe,103.31799329997739,0.10494842857542086,0.32105263157894737,238.51325737081564,,,1.0095860671552166,True
200,0.9,5,Regularized Horseshoe,89.72267479999573,,,,,,2.1024954817251933,False
200,0.9,6,AEH,87.72101899998961,0.059019524942546454,0.34210526315789475,254.02368214245132,0.43375933582600296,,1.0139813756514464,True
200,0.9,6,Horseshoe,88.10051540000131,0.12794733780268053,0.35789473684210527,245.3945609393705,,,1.0225886559038735,True
200,0.9,6,Regularized Horseshoe,199.8061986999819,,,,,,29.051167561737078,False
200,0.9,7,AEH,194.06878840000718,0.044250288965485364,0.23684210526315788,233.1244786092263,0.4318831399276208,,1.009575038737796,True
200,0.9,7,Horseshoe,183.79190620000008,0.12885065445315372,0.24736842105263157,217.2495817687697,,,1.009532482486272,True
200,0.9,7,Regularized Horseshoe,129.42449299999862,,,,,,1.5810969966618633,False
200,0.9,8,AEH,103.0386426000041,0.0247342648645737,0.3,232.61630479693594,0.42341901339128973,,1.0211091320336518,True
200,0.9,8,Horseshoe,188.69300349999685,0.04207045800306952,0.2789473684210526,245.44507354616238,,,1.0086300773194803,True
200,0.9,8,Regularized Horseshoe,91.67991420000908,,,,,,1.7174574766603523,False
200,0.9,9,AEH,94.16120560001582,0.031655481262738844,0.3894736842105263,243.12140276476063,0.4081639307233289,,1.0090529855415022,True
200,0.9,9,Horseshoe,90.77389839998796,0.06330163757061712,0.3736842105263158,234.19931291163886,,,1.0165838715407336,True
200,0.9,9,Regularized Horseshoe,91.06782279998879,,,,,,2.0200044376909565,False
200,0.9,10,AEH,89.57871239999076,0.025505757018145187,0.41578947368421054,240.96850362199655,0.4121209415498851,,1.0097212262954678,True
200,0.9,10,Horseshoe,90.30818360002013,0.046968585619275076,0.4052631578947368,230.12974202740784,,,1.0136219810752032,True
200,0.9,10,Regularized Horseshoe,82.01775709999492,,,,,,2.0913072661862326,False
200,0.9,11,AEH,85.9088514999894,0.032202000954004245,0.42105263157894735,238.76189745274166,0.4229869579742664,,1.0075117441101344,True
200,0.9,11,Horseshoe,91.00015340000391,0.06395966997121935,0.4105263157894737,234.87767659662822,,,1.018367046533109,True
200,0.9,11,Regularized Horseshoe,84.37744830001611,,,,,,1.8872556743818358,False
200,0.9,12,AEH,98.11417240000446,0.031045269666909393,0.48947368421052634,241.8978862542289,0.4228154488147605,,1.0144788303532022,True
200,0.9,12,Horseshoe,89.57865159999346,0.06035778844696229,0.4631578947368421,224.83577869013877,,,1.0135532824668816,True
200,0.9,12,Regularized Horseshoe,92.98513740001363,,,,,,1.7076800056936758,False
