rho,group_size,MSE_ratio_mean,AEH_alpha_star_mean,AEH_wins,conv_rate
0.5,3,1.0188911849117146,0.6213106954724309,False,0.8
0.5,5,0.9840874549720107,0.6076057089152762,True,0.8
0.5,10,0.9720884404824428,0.574089130541747,True,0.8
0.7,3,0.9921710588563888,0.6163418547121724,True,0.8
0.7,5,0.9865925226849048,0.5907442657320188,True,0.9
0.7,10,0.937139740678103,0.5127021198249151,True,0.8
0.9,3,0.928412332661664,0.611792593736941,True,0.8
0.9,5,0.8946538908739884,0.5683198770207921,True,0.8
0.9,10,0.8105511182686953,0.38810600691485775,True,1.0
