method,PICP_90_mean,PICP_50_mean,MSE_mean,conv_rate,nu_mean
AEH,0.9902,0.8358000000000001,0.027491844535751715,1.0,5.7078442362203115
Horseshoe,0.9892,0.8402000000000001,0.02810615601605303,1.0,5.707841460966792
