p,rho,replication,method,wall_clock_s
500,0.5,17,Horseshoe,370.99254960002145
500,0.5,17,Regularized Horseshoe,399.6270392999868
500,0.5,18,AEH,392.4873358999903
500,0.5,18,Horseshoe,373.72724569999264
500,0.5,18,Regularized Horseshoe,372.3700422999973
500,0.5,19,AEH,381.80655670000124
500,0.5,19,Horseshoe,377.21699420001823
500,0.5,19,Regularized Horseshoe,375.09786700000404
500,0.5,20,AEH,376.0005692000268
500,0.5,20,Horseshoe,381.09269889999996
500,0.5,20,Regularized Horseshoe,365.997466300003
500,0.5,21,AEH,448.67537260000245
500,0.5,21,Horseshoe,387.7189510999888
500,0.5,21,Regularized Horseshoe,385.3809497000184
500,0.5,22,AEH,377.74124249999295
500,0.5,22,Horseshoe,373.9114619999891
500,0.5,22,Regularized Horseshoe,369.73952560001635
500,0.5,23,AEH,370.9640119000105
500,0.5,23,Horseshoe,375.665983999992
500,0.5,23,Regularized Horseshoe,364.9750394000148
500,0.5,24,AEH,383.6857975999883
500,0.5,24,Horseshoe,376.3604620999831
500,0.5,24,Regularized Horseshoe,371.4796175000083
500,0.5,25,AEH,374.8447324000008
500,0.5,25,Horseshoe,370.65677840000717
500,0.5,25,Regularized Horseshoe,367.4776634000009
500,0.5,26,AEH,374.76297470001737
500,0.5,26,Horseshoe,365.1477217999927
500,0.5,26,Regularized Horseshoe,363.8805808000034
500,0.5,27,AEH,373.01820459999726
500,0.5,27,Horseshoe,371.3296302999952
500,0.5,27,Regularized Horseshoe,361.91005000000587
500,0.5,28,AEH,368.11209950002376
500,0.5,28,Horseshoe,370.06371180000133
500,0.5,28,Regularized Horseshoe,371.071901599993
500,0.5,29,AEH,387.4576120999991
500,0.5,29,Horseshoe,369.585693800007
500,0.5,29,Regularized Horseshoe,371.4531252000015
500,0.7,0,AEH,382.9824552999926
500,0.7,0,Horseshoe,369.44361560000107
500,0.7,0,Regularized Horseshoe,375.5126001999888
500,0.7,1,AEH,366.91448129998753
500,0.7,1,Horseshoe,371.2875279999862
500,0.7,1,Regularized Horseshoe,372.4349841999938
500,0.7,2,AEH,373.0511720000068
500,0.7,2,Horseshoe,378.5265417000046
500,0.7,2,Regularized Horseshoe,369.4879645000037
500,0.7,3,AEH,374.18342879999545
500,0.7,3,Horseshoe,377.2117436999979
500,0.7,3,Regularized Horseshoe,369.9375951999973
500,0.7,4,AEH,383.51286499999696
500,0.7,4,Horseshoe,376.83042750001187
500,0.7,4,Regularized Horseshoe,368.57819339999696
500,0.7,5,AEH,378.65307920001214
500,0.7,5,Horseshoe,373.12561330001336
500,0.7,5,Regularized Horseshoe,374.724632700003
500,0.7,6,AEH,384.82722860001377
500,0.7,6,Horseshoe,383.6610832999868
500,0.7,6,Regularized Horseshoe,376.41633789998014
500,0.7,7,AEH,398.4216531999991
500,0.7,7,Horseshoe,385.6546059999964
500,0.7,7,Regularized Horseshoe,367.99138270001276
500,0.7,8,AEH,374.42003400000976
500,0.7,8,Horseshoe,369.0449953000061
500,0.7,8,Regularized Horseshoe,367.2703346000053
500,0.7,9,AEH,361.3095291000209
500,0.7,9,Horseshoe,449.17740360001335
500,0.7,9,Regularized Horseshoe,652.1215334000008
500,0.7,10,AEH,372.89658070000587
500,0.7,10,Horseshoe,360.2355067000026
500,0.7,10,Regularized Horseshoe,368.69320350000635
500,0.7,11,AEH,375.7264131999982
500,0.7,11,Horseshoe,368.49736550002126
500,0.7,11,Regularized Horseshoe,361.73283810002613
500,0.7,12,AEH,358.7198932999745
500,0.7,12,Horseshoe,369.4109758999839
500,0.7,12,Regularized Horseshoe,372.59407609998016
500,0.7,13,AEH,388.58365390001563
500,0.7,13,Horseshoe,374.87839640001766
500,0.7,13,Regularized Horseshoe,366.92661210001097
500,0.7,14,AEH,374.9891087000142
500,0.7,14,Horseshoe,367.2670721000177
500,0.7,14,Regularized Horseshoe,367.98069170000963
500,0.7,15,AEH,364.135303499992
500,0.7,15,Horseshoe,367.81066469999496
500,0.7,15,Regularized Horseshoe,371.8593071999785
500,0.7,16,AEH,336.7255162000074
500,0.7,16,Horseshoe,312.4321229000052
500,0.7,16,Regularized Horseshoe,295.89609200000996
500,0.7,17,AEH,482.7570298000064
500,0.7,17,Horseshoe,318.81229239999084
500,0.7,17,Regularized Horseshoe,321.6178813999868
500,0.7,18,AEH,317.6774845000182
500,0.7,18,Horseshoe,302.5489553999796
500,0.7,18,Regularized Horseshoe,263.48789479999687
500,0.7,19,AEH,633.5882804000285
500,0.7,19,Horseshoe,330.56357619998744
500,0.7,19,Regularized Horseshoe,325.6179794999771
500,0.7,20,AEH,319.9213728000177
500,0.7,20,Horseshoe,318.742621100042
500,0.7,20,Regularized Horseshoe,313.01895359996706
500,0.7,21,AEH,314.6167844000156
500,0.7,21,Horseshoe,317.09567319997586
500,0.7,21,Regularized Horseshoe,335.0515418999712
500,0.7,22,AEH,305.8621597000165
500,0.7,22,Horseshoe,315.56458730000304
500,0.7,22,Regularized Horseshoe,307.56292729999404
500,0.7,23,AEH,306.57645970000885
500,0.7,23,Horseshoe,300.85462830000324
500,0.7,23,Regularized Horseshoe,300.8381906999857
500,0.7,24,AEH,341.4185225000256
500,0.7,24,Horseshoe,311.40991990000475
500,0.7,24,Regularized Horseshoe,343.24886739999056
500,0.7,25,AEH,312.28366610000376
500,0.7,25,Horseshoe,312.9814804000198
500,0.7,25,Regularized Horseshoe,315.87478250003187
500,0.7,26,AEH,329.41531820001546
500,0.7,26,Horseshoe,347.2827617999865
500,0.7,26,Regularized Horseshoe,303.1821704999893
500,0.7,27,AEH,305.82375770004
500,0.7,27,Horseshoe,311.6693564999732
500,0.7,27,Regularized Horseshoe,307.8256578000146
500,0.7,28,AEH,308.57800639997004
500,0.7,28,Horseshoe,305.3519821999944
500,0.7,28,Regularized Horseshoe,300.98607520002406
500,0.7,29,AEH,307.3089792000246
500,0.7,29,Horseshoe,278.12233759998344
500,0.7,29,Regularized Horseshoe,301.6074616999831
500,0.9,0,AEH,311.47611810005037
500,0.9,0,Horseshoe,304.540851400001
500,0.9,0,Regularized Horseshoe,302.1748456999776
500,0.9,1,AEH,309.4539339999901
500,0.9,1,Horseshoe,304.1511740999995
500,0.9,1,Regularized Horseshoe,307.22422009997535
500,0.9,2,AEH,312.2562639999669
500,0.9,2,Horseshoe,303.16240209998796
500,0.9,2,Regularized Horseshoe,304.693319300015
500,0.9,3,AEH,308.58196460001636
500,0.9,3,Horseshoe,307.24483829998644
500,0.9,3,Regularized Horseshoe,302.98648630001117
500,0.9,4,AEH,304.6450076000183
500,0.9,4,Horseshoe,369.5775735999923
500,0.9,4,Regularized Horseshoe,365.41331899998477
500,0.9,5,AEH,374.0889418000006
500,0.9,5,Horseshoe,360.1454458000371
500,0.9,5,Regularized Horseshoe,391.3619278999977
500,0.9,6,AEH,421.57198889995925
500,0.9,6,Horseshoe,362.45593669998925
500,0.9,6,Regularized Horseshoe,358.12108200002695
500,0.9,7,AEH,360.85211010003695
500,0.9,7,Horseshoe,393.37025459995493
500,0.9,7,Regularized Horseshoe,404.5996817999985
500,0.9,8,AEH,416.2649471000186
500,0.9,8,Horseshoe,396.8394116999698
500,0.9,8,Regularized Horseshoe,408.3736166000017
500,0.9,9,AEH,399.69854180002585
500,0.9,9,Horseshoe,422.80195450002793
500,0.9,9,Regularized Horseshoe,400.02680190000683
500,0.9,10,AEH,369.84210279997205
500,0.9,10,Horseshoe,378.8709707999951
500,0.9,10,Regularized Horseshoe,357.88421799999196
500,0.9,11,AEH,379.7624934000196
500,0.9,11,Horseshoe,372.9209858000395
500,0.9,11,Regularized Horseshoe,370.2563209999935
500,0.9,12,AEH,350.3468547000084
500,0.9,12,Horseshoe,290.0352619999903
500,0.9,12,Regularized Horseshoe,309.74996440001996
500,0.9,13,AEH,339.2443629000336
500,0.9,13,Horseshoe,313.7537919000024
500,0.9,13,Regularized Horseshoe,313.8211720000254
500,0.9,14,AEH,315.5005005999701
500,0.9,14,Horseshoe,319.5998628999805
500,0.9,14,Regularized Horseshoe,310.5893778000027
500,0.9,15,AEH,317.7655816000188
500,0.9,15,Horseshoe,317.69368319999194
500,0.9,15,Regularized Horseshoe,311.39186390000395
500,0.9,16,AEH,321.06430790002923
500,0.9,16,Horseshoe,319.9316241000197
500,0.9,16,Regularized Horseshoe,312.50790699996287
500,0.9,17,AEH,322.89314380002907
500,0.9,17,Horseshoe,318.89890510000987
500,0.9,17,Regularized Horseshoe,314.320024799963
500,0.9,18,AEH,326.1248129999731
500,0.9,18,Horseshoe,321.4885918000364
500,0.9,18,Regularized Horseshoe,311.95494270004565
500,0.9,19,AEH,323.34454389999155
500,0.9,19,Horseshoe,318.3693010000279
500,0.9,19,Regularized Horseshoe,318.02809209999396
500,0.9,20,AEH,329.4163751999731
500,0.9,20,Horseshoe,336.04276729997946
500,0.9,20,Regularized Horseshoe,424.30729949998204
500,0.9,21,AEH,334.2801148999715
500,0.9,21,Horseshoe,305.62587620003615
500,0.9,21,Regularized Horseshoe,318.72093399998266
500,0.9,22,AEH,666.6262554000132
500,0.9,22,Horseshoe,395.77319700003136
500,0.9,22,Regularized Horseshoe,387.25707370002056
500,0.9,23,AEH,404.8028427999816
500,0.9,23,Horseshoe,393.41017679998185
500,0.9,23,Regularized Horseshoe,387.108568799973
500,0.9,24,AEH,387.56584599998314
500,0.9,24,Horseshoe,394.6992541999789
500,0.9,24,Regularized Horseshoe,404.3588075999869
500,0.9,25,AEH,387.47895660001086
500,0.9,25,Horseshoe,386.5813649999909
500,0.9,25,Regularized Horseshoe,384.39523929997813
500,0.9,26,AEH,396.74943640001584
500,0.9,26,Horseshoe,387.9560214999947
500,0.9,26,Regularized Horseshoe,392.45345140004065
500,0.9,27,AEH,386.0434881999972
500,0.9,27,Horseshoe,388.82342250004876
500,0.9,27,Regularized Horseshoe,385.1511266999878
500,0.9,28,AEH,441.8403278000187
500,0.9,28,Horseshoe,390.68883780000033
500,0.9,28,Regularized Horseshoe,383.85694799997145
500,0.9,29,AEH,390.3829457000247
500,0.9,29,Horseshoe,386.65428869996686
500,0.9,29,Regularized Horseshoe,399.96614400000544
