p,rho,replication,method,wall_clock_s
50,0.7,14,Regularized Horseshoe,5.585702699987451
50,0.7,15,AEH,6.161518700013403
50,0.7,15,Horseshoe,5.870462199993199
50,0.7,15,Regularized Horseshoe,5.177903499978129
50,0.7,16,AEH,7.712482500006445
50,0.7,16,Horseshoe,6.1904658999992535
50,0.7,16,Regularized Horseshoe,6.063549599988619
50,0.7,17,AEH,7.565050800010795
50,0.7,17,Horseshoe,6.935577900003409
50,0.7,17,Regularized Horseshoe,6.180075199983548
50,0.7,18,AEH,7.3575915999826975
50,0.7,18,Horseshoe,6.815994400007185
50,0.7,18,Regularized Horseshoe,6.075516399985645
50,0.7,19,AEH,6.939922099991236
50,0.7,19,Horseshoe,6.7185585999977775
50,0.7,19,Regularized Horseshoe,6.146491399995284
50,0.7,20,AEH,6.707294899999397
50,0.7,20,Horseshoe,5.15551919999416
50,0.7,20,Regularized Horseshoe,5.32698110002093
50,0.7,21,AEH,6.423739299993031
50,0.7,21,Horseshoe,6.361266499996418
50,0.7,21,Regularized Horseshoe,5.185811700008344
50,0.7,22,AEH,7.245659600012004
50,0.7,22,Horseshoe,6.150263499992434
50,0.7,22,Regularized Horseshoe,5.311306499992497
50,0.7,23,AEH,6.124385600007372
50,0.7,23,Horseshoe,5.843523799994728
50,0.7,23,Regularized Horseshoe,5.216740700008813
50,0.7,24,AEH,6.747380899993004
50,0.7,24,Horseshoe,6.202356499998132
50,0.7,24,Regularized Horseshoe,6.872757699980866
50,0.7,25,AEH,6.756602300010854
50,0.7,25,Horseshoe,5.315953100012848
50,0.7,25,Regularized Horseshoe,4.9009447999997064
50,0.7,26,AEH,6.264301399991382
50,0.7,26,Horseshoe,5.698525499989046
50,0.7,26,Regularized Horseshoe,6.287594800000079
50,0.7,27,AEH,8.64635769999586
50,0.7,27,Horseshoe,7.4841447999933735
50,0.7,27,Regularized Horseshoe,6.497013999993214
50,0.7,28,AEH,8.312815200013574
50,0.7,28,Horseshoe,7.385154999996303
50,0.7,28,Regularized Horseshoe,5.486401700007264
50,0.7,29,AEH,8.106399300013436
50,0.7,29,Horseshoe,6.909501400019508
50,0.7,29,Regularized Horseshoe,6.610841100016842
50,0.9,0,AEH,8.014834400004474
50,0.9,0,Horseshoe,6.608698800002458
50,0.9,0,Regularized Horseshoe,5.707488399988506
50,0.9,1,AEH,6.036661299993284
50,0.9,1,Horseshoe,5.6221197999839205
50,0.9,1,Regularized Horseshoe,5.272911000007298
50,0.9,2,AEH,6.467943399999058
50,0.9,2,Horseshoe,6.0258614999766
50,0.9,2,Regularized Horseshoe,5.458040599973174
50,0.9,3,AEH,8.413773400010541
50,0.9,3,Horseshoe,7.4202558000106364
50,0.9,3,Regularized Horseshoe,6.40565499998047
50,0.9,4,AEH,7.107280199998058
50,0.9,4,Horseshoe,7.799045899999328
50,0.9,4,Regularized Horseshoe,5.845425000006799
50,0.9,5,AEH,8.192802000005031
50,0.9,5,Horseshoe,5.6746082000026945
50,0.9,5,Regularized Horseshoe,7.08516050002072
50,0.9,6,AEH,7.753066600009333
50,0.9,6,Horseshoe,7.978055800020229
50,0.9,6,Regularized Horseshoe,7.25880809998489
50,0.9,7,AEH,8.801369699998759
50,0.9,7,Horseshoe,6.927021300012711
50,0.9,7,Regularized Horseshoe,7.4453081999963615
50,0.9,8,AEH,8.586059900000691
50,0.9,8,Horseshoe,7.498621999984607
50,0.9,8,Regularized Horseshoe,6.471607899991795
50,0.9,9,AEH,8.709544800018193
50,0.9,9,Horseshoe,8.060562600003323
50,0.9,9,Regularized Horseshoe,6.663794299995061
50,0.9,10,AEH,7.376985900016734
50,0.9,10,Horseshoe,7.773735299997497
50,0.9,10,Regularized Horseshoe,7.031241999997292
50,0.9,11,AEH,7.984524899977259
50,0.9,11,Horseshoe,7.1307489000028
50,0.9,11,Regularized Horseshoe,6.721367099991767
50,0.9,12,AEH,7.538603599998169
50,0.9,12,Horseshoe,7.151820200000657
50,0.9,12,Regularized Horseshoe,5.745429600006901
50,0.9,13,AEH,5.6853515000257175
50,0.9,13,Horseshoe,6.148386400018353
