condition,replication,wall_clock_s,MSE_signal,FPR,bulk_ESS,converged_alpha,PICP_90,rhat_max,converged_ok
Correct,0,1.5416161000030115,,,,,,1.081106466924542,False
Correct,1,1.4972228000406176,,,,,,1.0891797129944443,False
Correct,2,1.4923441000282764,,,,,,1.1283727624977677,False
Correct,3,1.5069394999882206,,,,,,1.098745369640146,False
Correct,4,1.5233200000366196,,,,,,1.1304884642929904,False
Correct,5,1.5619749000179581,,,,,,1.1629482460594647,False
Correct,6,1.52174150000792,,,,,,1.0669435081382446,False
Correct,7,1.4153703000047244,,,,,,1.0563247123580988,False
Correct,8,1.872199699981138,,,,,,2.19691432430466,False
Correct,9,1.5729142999625765,,,,,,1.063220217896607,False
Correct,10,1.3731841999688186,,,,,,1.099617748395509,False
Correct,11,1.6096271999995224,,,,,,1.2127717101179802,False
Correct,12,1.570654299983289,,,,,,1.07587584502199,False
Correct,13,1.3611578999552876,,,,,,1.1955409072404017,False
Correct,14,1.4928118999814615,,,,,,1.1608217739388405,False
Correct,15,1.6360141999903135,,,,,,1.2107409548176884,False
Correct,16,1.5252000000327826,,,,,,1.0900882549035853,False
Correct,17,1.3743668000097387,,,,,,1.2316574346673894,False
Correct,18,1.5238421999965794,,,,,,1.06021873527365,False
Correct,19,1.4598498999839649,,,,,,1.3185479069222157,False
Correct,20,1.579700700007379,,,,,,9.4344661340166,False
Correct,21,1.687340900010895,,,,,,1.1246081231738256,False
Correct,22,2.242351399967447,,,,,,1.113314771518149,False
Correct,23,1.7316917999996804,,,,,,1.1234430056061102,False
Correct,24,1.4623549000243656,,,,,,1.0807759957417828,False
Correct,25,1.5122059000423178,,,,,,1.0895068086315547,False
Correct,26,1.515685599995777,,,,,,1.1368464437417916,False
Correct,27,1.4487174000241794,,,,,,1.1013206789591503,False
Correct,28,1.7312643000041135,,,,,,23.832438920487043,False
Correct,29,1.586693799996283,,,,,,1.0986581372876953,False
Correct,30,1.7659626999520697,,,,,,1.0595913252737124,False
Correct,31,1.9666828000335954,,,,,,1.1908325040676255,False
Correct,32,1.612836399988737,,,,,,1.0942467466965262,False
Correct,33,1.5635049999691546,,,,,,2.303808986762112,False
Correct,34,1.4439237999613397,,,,,,1.1040701900934002,False
Correct,35,1.5385764999664389,,,,,,1.0549109567987145,False
Correct,36,1.4986252000089735,,,,,,1.066374410383733,False
Correct,37,1.4355283999466337,,,,,,1.0979803941482227,False
Correct,38,1.5233031999669038,,,,,,1.4552813155731736,False
Correct,39,1.4920297999633476,,,,,,1.0647210821965467,False
Correct,40,1.4521746000391431,,,,,,1.2203996838411677,False
Correct,41,1.5829728999524377,,,,,,1.421874710410039,False
Correct,42,1.5190178000484593,,,,,,1.1148742047684506,False
