rho,group_size,replication,AEH_MSE,HS_MSE,MSE_ratio,AEH_alpha_star
0.3,2,0,0.001217559717766075,0.0007321748237617715,1.6629357883551508,0.5436616258861942
0.3,2,1,0.0018307341538673066,0.0018022348093854328,1.0158133359390566,0.5399672063516874
0.3,2,2,0.006540470228604005,0.006860695004042225,0.9533247323704744,0.5460384072081086
0.3,2,3,0.004516221323528593,0.004548705566670551,0.9928585742326393,0.5424474165742392
0.3,2,4,0.002066602512639429,0.0020831332643676515,0.9920644770975607,0.5413397459144047
0.3,2,5,0.0007691861917503648,0.000772243647634417,0.9960408144587295,0.5360145205988991
0.3,2,6,0.002889256709849521,0.0024626930050242798,1.173210263705214,0.5397995424872108
0.3,2,7,0.005161622741385941,0.004774307357476868,1.0811249370660045,0.5438494663859055
0.3,2,8,0.0013274840212347968,0.0016306480306957874,0.8140837239219352,0.5506054377658053
0.3,2,9,0.005862336412361007,0.005710076734279175,1.0266650844055694,0.541495937531834
0.3,2,10,0.0068820963050724455,0.006763366353425672,1.0175548603228681,0.538479866545497
0.3,2,11,0.0032627512329533176,0.003421966628123549,0.9534725459150553,0.5387130069521905
0.3,2,12,0.0008025021576373402,0.0007892225038085713,1.0168262483199415,0.5386802727790029
0.3,2,13,0.0038066601754582464,0.0037522689129293576,1.014495566227002,0.5454463013082332
0.3,2,14,0.0012534243381722172,0.0015072596647822821,0.8315915083903407,0.5435566720577649
0.3,2,15,0.003593430803295597,0.00379609526130047,0.9466123887693366,0.5415594403160039
0.3,2,16,0.0036831731513171976,0.004119015825340417,0.8941876670291261,0.5349977272953981
0.3,2,17,0.006379729654742811,0.006737969951505425,0.9468326069512117,0.5435707065348121
0.3,2,18,0.008203100697878392,0.008082892826176491,1.0148718873659448,0.548000635807298
0.3,2,19,0.00771815710674686,0.008221014853815463,0.938832643413213,0.5385083223165936
0.3,2,20,0.0022381690130392883,0.00269375289351683,0.8308739151337842,0.537013411803096
0.3,2,21,0.0029278568176640198,0.0029303725647858796,0.9991414923985805,0.5455962933410079
0.3,2,22,0.004951010424632476,0.005189360066550466,0.9540695502217428,0.5444289659874517
0.3,2,23,0.004284158628700465,0.004463371113009628,0.959848177583351,0.5432396740810385
0.3,2,24,0.0018169881455105303,0.001846202068140665,0.9841762052300395,0.5493458294455071
0.3,2,25,0.0006327215106182324,0.0011665493678475148,0.5423872560024724,0.5374960517535681
