replication,method,wall_clock_s,MSE_signal,FPR,bulk_ESS,converged_alpha,rhat_max,converged_ok,PICP_90
0,AEH,266.55309850000776,0.015131744030502268,0.1375,247.58991310139774,0.605231399086745,1.0103007018402501,True,1.0
0,Horseshoe,264.5890454999753,0.015427505307225966,0.14166666666666666,235.05477714587462,,1.0101653143620224,True,1.0
0,Regularized Horseshoe,253.5136278999853,,,,,3.740683758380436,False,
0,Bayesian Elastic Net,263.45738420001,0.015341571254181495,0.14166666666666666,232.48748222411038,,1.0105619503602046,True,1.0
1,AEH,254.07684629998403,0.0197427312221614,0.15,255.31139836522163,0.6025214672791132,1.0062419171596935,True,1.0
1,Horseshoe,262.35876090003876,0.02002876552614841,0.14166666666666666,242.4917559069304,,1.0129564971068696,True,1.0
1,Regularized Horseshoe,280.9014461999759,,,,,6.33924046745843,False,
1,Bayesian Elastic Net,257.3268425000133,0.01993096835622682,0.14583333333333334,239.6324909278281,,1.013274691649563,True,1.0
2,AEH,268.9074013000354,0.01597079730098633,0.18333333333333332,244.5083479783701,0.604179030354113,1.005263228606241,True,1.0
2,Horseshoe,260.49522219999926,0.016078953580626217,0.18333333333333332,232.4526706159908,,1.0087018747903407,True,1.0
2,Regularized Horseshoe,262.6648147999658,,,,,27.771808974632517,False,
2,Bayesian Elastic Net,279.2590729999938,0.016005368435828324,0.18333333333333332,229.5889816178335,,1.0088374665216668,True,1.0
3,AEH,266.5511424000142,0.010892729194079485,0.18333333333333332,257.37389303625514,0.6019748054995373,1.009504049756589,True,1.0
3,Horseshoe,267.0919782000128,0.010755592771508043,0.175,245.44438930583036,,1.0108362075222124,True,1.0
3,Regularized Horseshoe,261.3588058000314,,,,,11.126211696404411,False,
3,Bayesian Elastic Net,262.6668421999784,0.010818852696979398,0.17916666666666667,242.97537990883788,,1.0112485382481744,True,1.0
4,AEH,258.89176819997374,0.021142777758633758,0.16666666666666666,252.52675256251436,0.6101309446833897,1.0089400141412992,True,1.0
4,Horseshoe,259.6917913000216,0.021459139408992838,0.1625,237.27738499218793,,1.0133746094855578,True,1.0
4,Regularized Horseshoe,264.4196135000093,,,,,16.228067976141013,False,
4,Bayesian Elastic Net,262.63482970005134,0.021251226950596138,0.16666666666666666,234.2600099569623,,1.013337132671343,True,1.0
5,AEH,259.55723840004066,0.017923165388942376,0.11666666666666667,258.957175134566,0.6078861774649444,1.009010784780029,True,1.0
5,Horseshoe,265.79729089996545,0.01845742112255355,0.1,245.36945174623324,,1.0091267375375432,True,1.0
5,Regularized Horseshoe,257.3728581999894,,,,,10.418236863744026,False,
5,Bayesian Elastic Net,254.43108110001776,0.018240523384262734,0.1125,242.49083256045424,,1.0096297765232278,True,1.0
6,AEH,266.9702889000182,0.017742993851602117,0.14166666666666666,262.1336384871137,0.6047694601199557,1.0079612370344664,True,1.0
6,Horseshoe,264.14461080002366,0.017863053083680868,0.14166666666666666,253.53416995432625,,1.0125204945301203,True,1.0
6,Regularized Horseshoe,259.00240910000866,,,,,5.024424812589877,False,
6,Bayesian Elastic Net,264.94540909997886,0.017807101427094154,0.14583333333333334,250.79515324864846,,1.013085620804986,True,1.0
7,AEH,269.7489829999977,0.021338048521035012,0.14583333333333334,261.0709834515413,0.6065500121165576,1.0108290101096367,True,1.0
