rho,group_size,MSE_ratio_mean,MSE_ratio_std,AEH_alpha_star_mean,AEH_wins
0.3,2,0.9810476988914583,0.1671725582458887,0.5417438108802465,True
0.3,3,1.0268319803354258,0.20770263799699779,0.5320526319117835,False
0.3,5,1.0063288010971612,0.09282632860385297,0.5077696212023162,False
0.4,2,0.958807292390735,0.0979954828036058,0.5382963682980937,True
0.4,3,0.9971436408285795,0.1055623842195036,0.5223838301737219,True
0.4,5,0.9675636938056872,0.16828066235732544,0.4855971720505601,True
0.5,2,0.9463676332995273,0.08925136266176904,0.5349712430512713,True
0.5,3,1.0037985174441522,0.14837386728319707,0.5121015652687516,False
0.5,5,0.9997932764477445,0.1450695352463915,0.4575510166452918,True
0.6,2,0.991825777568094,0.21600670366998329,0.5318299181497685,True
0.6,3,0.9697631399757151,0.14196040671453483,0.5013943113595505,True
0.6,5,0.9670462265503076,0.14291028861526303,0.4234869504432098,True
0.7,2,1.014745723526029,0.1314653636460965,0.5290175031420588,False
0.7,3,0.9378888012959848,0.09078524198712405,0.49050388843023107,True
0.7,5,0.9787258229694605,0.14312200174723613,0.38321525105090254,True
0.8,2,0.9497110059104986,0.04927553775451806,0.5268668371913459,True
0.8,3,0.9325324468617686,0.06462499576492339,0.47994999442420755,True
0.8,5,0.8896191197611072,0.12068722696720607,0.33617671641735575,True
0.9,2,0.8838539320245057,0.0531664697732362,0.5266259736702662,True
0.9,3,0.8421966057856248,0.06250644647789143,0.4717684311972152,True
0.9,5,0.831119552908469,0.19637972076087237,0.2866617620911912,True
