method,s_0,replication,MSE_signal,FPR,bulk_ESS,converged_alpha
ARD,2,21,0.0006119265127527986,0.0,211.90660847251382,
AEH,2,22,0.031544981088095427,0.16666666666666666,1597.6255187247475,0.22172555884346817
Horseshoe,2,22,0.012594478161147608,0.16666666666666666,5071.50901202842,
Regularized Horseshoe,2,22,0.01366770901747518,0.2222222222222222,4166.281977570201,
Bayesian Elastic Net,2,22,0.024604603487585003,0.16666666666666666,5019.92561012096,
ARD,2,22,0.01411893226576409,0.16666666666666666,219.84235610965152,
AEH,2,23,0.0016579724885393673,0.05555555555555555,1923.3600101833422,0.21940140232728989
Horseshoe,2,23,0.011945836295440987,0.0,3100.5937951115743,
Regularized Horseshoe,2,23,0.012513001412788006,0.05555555555555555,1558.0062655303268,
Bayesian Elastic Net,2,23,0.002666319028994983,0.05555555555555555,3060.7342865075407,
ARD,2,23,0.009940516499943357,0.05555555555555555,358.65074312814943,
AEH,2,24,0.015875719008669485,0.1111111111111111,669.7828061989296,0.2218596548279163
Horseshoe,2,24,0.0016793618163746657,0.1111111111111111,1430.6391436817928,
Regularized Horseshoe,2,24,0.0016741172095317302,0.16666666666666666,3038.2399277502764,
Bayesian Elastic Net,2,24,0.008509218903909955,0.1111111111111111,1426.6975550590555,
ARD,2,24,0.0017535306528389794,0.1111111111111111,383.18580132042564,
AEH,2,25,0.00333399619299898,0.16666666666666666,1139.75406272836,0.21275515492289082
Horseshoe,2,25,0.0004943873713774867,0.1111111111111111,5477.4993166631275,
Regularized Horseshoe,2,25,0.0004436537746592041,0.1111111111111111,1754.0474845907847,
Bayesian Elastic Net,2,25,0.001847361124762802,0.1111111111111111,5318.747114347161,
ARD,2,25,0.0002955818082698819,0.1111111111111111,336.3710011317432,
AEH,2,26,0.013231296377868008,0.05555555555555555,4513.816421691975,0.22441566825331288
Horseshoe,2,26,0.004163122267307804,0.0,4945.011525669733,
Regularized Horseshoe,2,26,0.004168201868802752,0.0,1106.7349488367527,
Bayesian Elastic Net,2,26,0.0095439920757896,0.05555555555555555,1854.562383346301,
ARD,2,26,0.00433265630693887,0.05555555555555555,440.14047955299486,
AEH,2,27,0.0010268096244185586,0.1111111111111111,5107.874493955478,0.2206369878702537
