rho,group_size,replication,AEH_MSE,HS_MSE,MSE_ratio,AEH_alpha_star,rhat_max,converged
0.5,3,0,0.0038856496349797586,0.0038742225670103567,1.0029495125207069,0.6229840782526072,1.0822682464701734,True
0.5,3,1,0.0025008663103759745,0.002017857553452639,1.2393671228659762,0.620345556050261,1.0615022330730024,True
0.5,3,2,0.004816533618556988,0.00490302496677116,0.9823595945767476,0.6210309055279303,1.022702166101104,True
0.5,3,3,0.003312568938171251,0.0034380411845484037,0.9635047285235957,0.6171046230034635,1.1826929490263425,False
0.5,3,4,0.0030758149207686346,0.003075600826838258,1.0000696104411562,0.6210150076480078,1.0019749136348994,True
0.5,3,5,0.0014196065331426133,0.0014302900836619926,0.9925305008813136,0.625192884508274,1.0050612155280707,True
0.5,3,6,0.003824609926359474,0.003897298289863718,0.9813490376927793,0.6241553022270548,1.002450797034074,True
0.5,3,7,0.0041917114137897515,0.004079564494520855,1.027489924333717,0.6207830869994765,1.0124144025804884,True
0.5,3,8,0.0030516380344607764,0.0030402749550463987,1.0037375170280296,0.6212997623289737,1.0106304205866192,True
0.5,3,9,0.001223795060893559,0.001229259981682971,0.9955543002531247,0.6191957481782614,1.3419493047267206,False
0.5,5,0,0.003811231121369273,0.003741056539219357,1.0187579581902173,0.6079489183035166,1.0405674851308875,True
0.5,5,1,0.002176112966028488,0.0027030558753370014,0.8050565975655916,0.6062347020159827,1.1235437270206274,False
0.5,5,2,0.004683183738425375,0.0045536441012195075,1.0284474663206937,0.6030779032400954,1.0244459562530739,True
0.5,5,3,0.0017455227690980541,0.0018937902792023494,0.9217085905801858,0.6058340091988997,1.0832453495275793,True
0.5,5,4,0.0032263329075112547,0.0032180122711482568,1.0025856446967585,0.6070723207941938,1.0013690293621527,True
0.5,5,5,0.0033757981864708407,0.003347958553842547,1.0083154053972208,0.6120784084289784,1.0089150932584208,True
0.5,5,6,0.004141575812067791,0.00426828875431527,0.9703129404918139,0.6110970001162926,1.0146494365965602,True
0.5,5,7,0.004420816152594373,0.004641232417686545,0.9525091085177673,0.6093730328753141,1.0764283901235097,True
0.5,5,8,0.003559578292325337,0.003564776121534241,0.9985418918238639,0.6072589785565427,1.0221576462861195,True
0.5,5,9,0.0020267394430912205,0.0017862417379495635,1.1346389461359947,0.6060818156229462,1.2720645497827903,False
0.5,10,0,0.004432327620677455,0.0045500390129183405,0.9741295861625181,0.5673743351939572,1.0045332310334352,True
0.5,10,1,0.002126986459469693,0.0021941798776701,0.9693765224609769,0.5697923912855104,1.0720486695509333,True
0.5,10,2,0.004198976021207833,0.004201581339972163,0.9993799194747122,0.570912118820763,1.00814360620405,True
0.5,10,3,0.0023994563834507073,0.0024091067188337077,0.995994226695083,0.5739907434496235,1.026915517188511,True
0.5,10,4,0.0025791545683059654,0.0026770786845466904,0.9634212782739681,0.5753637225764082,1.0206783579052165,True
0.5,10,5,0.00859124228228801,0.008754215637276908,0.981383442932919,0.578178554720011,1.3478919518551986,False
0.5,10,6,0.006410209205918073,0.006558557037029152,0.9773810259980179,0.5796164763875075,1.0026699853769665,True
0.5,10,7,0.004531021076362337,0.0046616699296083575,0.9719738086954182,0.5752135145970169,1.0080274642637987,True
0.5,10,8,0.0047908796588304065,0.00501413644988496,0.9554745282092043,0.5758825142608878,1.0206783668162729,True
0.5,10,9,0.0025476744681099755,0.0027324713235958517,0.9323700659216109,0.574566934125785,1.471977456023361,False
0.7,3,0,0.004389684642271255,0.00466462817935058,0.9410577807044841,0.6184225334854873,1.008268543194158,True
0.7,3,1,0.00260694699264593,0.0025324475340738435,1.0294179672311878,0.6154167036078404,1.0229473219073901,True
0.7,3,2,0.005546256242925668,0.005759953647404674,0.9628994576066955,0.6163342747032249,1.0032683468892645,True
0.7,3,3,0.0037112822023165565,0.0035359594218540525,1.0495828032920624,0.6113332115768996,1.1156327577231495,False
0.7,3,4,0.003588631694601126,0.0036110679416575205,0.9937868111542382,0.6156885591890745,1.002751977847369,True
0.7,3,5,0.00155227753810802,0.001561205020182214,0.9942816721962937,0.6208098765884281,1.0052638746436977,True
0.7,3,6,0.004800546644716328,0.004943437398793526,0.9710948591941164,0.6188606846714536,1.003263849911181,True
0.7,3,7,0.005264233981915339,0.00536107179421122,0.9819368559099612,0.616204668238752,1.076863037286489,True
0.7,3,8,0.00337747985975857,0.0033644025200908105,1.0038869723790975,0.616265602570721,1.01388762726235,True
0.7,3,9,0.0013289830576729406,0.0013373207054466463,0.9937654088957509,0.6140824324898427,1.3572776564779132,False
0.7,5,0,0.004832685763185396,0.0049428360389662165,0.9777151669785392,0.590584739435794,1.0410358774023463,True
0.7,5,1,0.002635516371182827,0.002576880103093236,1.0227547521590956,0.5903828376494055,1.0561750053064418,True
0.7,5,2,0.005763962221390101,0.005895506056194872,0.9776874396275876,0.5881784389812003,1.0152094796189912,True
0.7,5,3,0.00227036483820954,0.0022238015812548473,1.0209385843355763,0.5873506411030246,1.0246467591690689,True
0.7,5,4,0.0042197392609485615,0.004284990107308077,0.9847722294041636,0.5891717302026452,1.00472550846273,True
0.7,5,5,0.004918176480307489,0.004919092526576977,0.9998137773858615,0.5964552318375435,1.013694210709571,True
0.7,5,6,0.0055517401498383235,0.005857000318291346,0.9478811419047224,0.5923917477675019,1.02747094957537,True
0.7,5,7,0.006731768877465507,0.007012374577096629,0.9599842112616719,0.5937128388719423,1.0804817469227324,True
0.7,5,8,0.004567961211541396,0.004634579802650723,0.9856257538016231,0.5908902444666005,1.030345965467723,True
0.7,5,9,0.0027996305881437004,0.0028314785778638836,0.9887521699902071,0.5883242070045299,1.3895897539373294,False
0.7,10,0,0.006442032287724083,0.006942546015321442,0.9279063147017276,0.5045791587860164,1.0066994193999137,True
0.7,10,1,0.0015116013160773917,0.0016139125361924547,0.9366067133003156,0.5065529406861429,1.060866624444459,True
0.7,10,2,0.005949331974326964,0.006516304873222823,0.9129916555583983,0.5092803788367877,1.0058838405131683,True
0.7,10,3,0.0043177364479118074,0.004594823125026197,0.9396958991511104,0.5119510643802787,1.1168493141568236,False
0.7,10,4,0.004733389770593113,0.005018295736076759,0.9432265493172425,0.5157763613240467,1.0038437664638715,True
0.7,10,5,0.014761939235955531,0.015630996230853254,0.9444016886663734,0.5171196492192192,1.0035593882032259,True
0.7,10,6,0.010806831625073647,0.011339002176378728,0.9530672502723658,0.5138489587873201,1.0015012536600052,True
0.7,10,7,0.007272873956158392,0.007848593092866013,0.9266468359493727,0.5138941218679132,1.03551367261399,True
0.7,10,8,0.008975061059503544,0.009412963592885706,0.9534787817820598,0.5147286993582527,1.003709898417821,True
0.7,10,9,0.004651968251771115,0.004984025362616199,0.9333757180820641,0.5192898650031729,1.229883907297083,False
