method,n,MSE_signal_mean,MSE_signal_std,MSE_signal_ci_lo,MSE_signal_ci_hi,FPR_mean,FPR_std,bulk_ESS_mean,bulk_ESS_std
AEH,100,2.2238383666845634,1.9038767440713877,1.760770163731511,2.785187870090786,0.9714736842105264,0.012034303768103747,21.874932288859828,0.34536549914752906
AEH,200,1.1935129734962557,0.5095171745258457,1.0603296179977637,1.3261610149172147,0.8606315789473684,0.05295539483849582,40.54208270905445,6.596935135341755
AEH,500,0.01335974536116744,0.006362860637175304,0.011678508604360144,0.015149919160915716,0.08568421052631575,0.026455910521803606,293.9699071175895,3.095190632176219
AEH,1000,0.005332416480498357,0.0028759603025885687,0.0045913650767872675,0.006146887678297034,0.0056842105263157534,0.005710327081518034,269.3389909240237,15.693905758998836
AEH,2000,0.001956849408906136,0.001074697559313417,0.0016625751964325305,0.002252922954536398,0.0,0.0,281.1900649796235,28.516342608624978
Horseshoe,100,0.04926037931040991,0.02205931614501746,0.04362513216128102,0.05535051300903229,0.34126315789473677,0.035416008086864674,66.8973527095103,4.585172969348669
Horseshoe,200,0.14098624830117823,0.07199242430708847,0.12273468763926332,0.1623358097123316,0.5898947368421051,0.05666439978661309,83.876124289044,6.54464554241933
Horseshoe,500,0.015229479257972129,0.007487793628747841,0.013278715117786949,0.017463498527800467,0.08231578947368416,0.02764137210732862,294.29701399367275,3.4923012684107206
Horseshoe,1000,0.005561649232846399,0.003014476951135785,0.004788414327012675,0.00639176796760681,0.005473684210526282,0.005622532058899207,247.05726346505838,18.37618392088831
Horseshoe,2000,0.001990793835839062,0.0010962663592788133,0.001717158503224042,0.0023119659382911605,0.0,0.0,226.2877335680661,29.440441118397914
