method,rho,replication,MSE_signal,FPR,converged_alpha,bulk_ESS
Bayesian Elastic Net (alpha=0.9),0.7,2,0.003030417448322593,0.2,,3440.7509238334546
AEH,0.7,3,0.005157726999749514,0.2,0.3959000404436439,1619.852068485042
Horseshoe,0.7,3,0.005641824894926473,0.2,,3253.648907125523
Bayesian Elastic Net,0.7,3,0.005372088913590788,0.2,,3086.4796660377674
Bayesian Elastic Net (alpha=0.1),0.7,3,0.005321581105686172,0.2,,3086.589764383404
Bayesian Elastic Net (alpha=0.9),0.7,3,0.005422211985242541,0.2,,3084.1136109498216
AEH,0.7,4,0.005459737091355486,0.13333333333333333,0.4011004866234822,563.1907596290113
Horseshoe,0.7,4,0.005345763451231777,0.06666666666666667,,2976.5794998183496
Bayesian Elastic Net,0.7,4,0.004936739025070342,0.06666666666666667,,2436.20833433803
Bayesian Elastic Net (alpha=0.1),0.7,4,0.0048953056917634494,0.06666666666666667,,2436.630600075817
Bayesian Elastic Net (alpha=0.9),0.7,4,0.00498093001730586,0.06666666666666667,,2421.3716774157424
AEH,0.7,5,0.00237465845214524,0.2,0.39842314125200484,768.4172200074845
Horseshoe,0.7,5,0.0027823618517069967,0.13333333333333333,,2245.758154510321
Bayesian Elastic Net,0.7,5,0.0027037558331654546,0.13333333333333333,,2018.844103514089
Bayesian Elastic Net (alpha=0.1),0.7,5,0.0026798016489079516,0.13333333333333333,,2018.9758901096761
Bayesian Elastic Net (alpha=0.9),0.7,5,0.0027280569504315164,0.13333333333333333,,2018.7527551508924
AEH,0.7,6,0.01948967056127335,0.26666666666666666,0.3887819944047658,1587.5184843356644
Horseshoe,0.7,6,0.020969150324884576,0.2,,2734.450487766063
Bayesian Elastic Net,0.7,6,0.019619219884670577,0.26666666666666666,,2962.5678537432027
Bayesian Elastic Net (alpha=0.1),0.7,6,0.019391167523332083,0.26666666666666666,,2950.51201392957
Bayesian Elastic Net (alpha=0.9),0.7,6,0.019852981058967423,0.26666666666666666,,2956.778551221933
AEH,0.7,7,0.005543161979107683,0.26666666666666666,0.39803835833547885,524.3446747945245
Horseshoe,0.7,7,0.005785150771762569,0.26666666666666666,,2495.178744083815
Bayesian Elastic Net,0.7,7,0.005448889708804118,0.26666666666666666,,2440.337788132819
Bayesian Elastic Net (alpha=0.1),0.7,7,0.005376594419362385,0.26666666666666666,,2456.194652551657
Bayesian Elastic Net (alpha=0.9),0.7,7,0.0055213070005464895,0.26666666666666666,,2431.0492139201006
AEH,0.7,8,0.011476751652357075,0.4,0.3817380066921858,1752.4891327119099
Horseshoe,0.7,8,0.012204574898729796,0.4,,3812.95646357436
Bayesian Elastic Net,0.7,8,0.011500406835907747,0.4666666666666667,,3850.1368924131953
Bayesian Elastic Net (alpha=0.1),0.7,8,0.011378471754018423,0.4666666666666667,,3849.386475225172
Bayesian Elastic Net (alpha=0.9),0.7,8,0.011635404024787303,0.4666666666666667,,3794.5602941230127
AEH,0.7,9,0.02193877000285278,0.2,0.3984187951950222,1367.4112812003289
Horseshoe,0.7,9,0.024234598513949098,0.2,,2848.2260136498944
Bayesian Elastic Net,0.7,9,0.022497056179519314,0.2,,2870.2514877689955
Bayesian Elastic Net (alpha=0.1),0.7,9,0.022200579064594623,0.2,,2905.9197330055113
Bayesian Elastic Net (alpha=0.9),0.7,9,0.02282613313036753,0.2,,2904.9135192641165
AEH,0.7,10,0.0045451905146953655,0.06666666666666667,0.3990595325085903,641.1211345789673
