YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,ENERGYSTARScore,Electricity(kWh),NaturalGas(kBtu),GHGEmissionsIntensity
1990.0,1.0,1.0,29619.0,59.0,140090.0,662880.0,1.28
1984.0,4.0,1.0,57856.0,56.0,496990.0,1662515.8,0.17
2013.0,6.0,1.0,83296.0,96.0,388873.0,323284.0,0.3
2012.0,6.0,1.0,43762.0,69.0,197654.0,629506.6,0.12
1978.0,1.0,1.0,22176.0,11.0,108199.0,1501660.0,3.69
1984.0,3.0,1.0,43788.0,51.4,373708.0,412015.8,0.17
1925.0,2.0,1.0,25821.0,86.0,68188.0,0.0,0.05
1956.0,3.0,1.0,24039.0,88.0,242464.0,468019.2,0.2
1962.0,5.0,1.0,39895.0,34.0,188882.0,2352177.0,3.56
1925.0,8.0,1.0,97923.0,24.0,388578.0,53240.0,7.24
1977.0,1.0,1.0,24024.0,66.4,81854.0,868655.6,0.07
2008.0,6.0,1.0,75638.0,76.0,459716.0,1368604.8,0.18
2013.0,6.0,1.0,83296.0,93.0,376135.0,672206.0,0.52
2013.0,8.0,1.0,116049.0,36.0,1077690.0,2483588.0,1.66
1954.0,2.0,1.0,46560.0,79.6,118350.0,2159497.0,0.05
1996.0,4.0,1.0,30854.0,67.0,307602.0,572545.4,0.31
1993.0,3.0,1.0,67313.0,78.0,599002.0,456797.0,0.18
1972.0,14.0,1.0,186768.0,79.0,2234149.0,3307231.0,1.58
1962.0,3.0,1.0,36140.0,48.2,1270880.0,1600749.6,0.7
1924.0,3.0,1.0,24939.0,82.0,187831.0,356406.0,0.15
1925.0,5.0,1.0,52620.0,86.0,149246.0,2829800.0,2.91
1962.0,4.0,2.0,71403.0,71.0,533659.0,1644520.0,1.6
1926.0,4.0,1.0,22284.0,43.0,165328.0,530140.0,1.54
2015.0,6.0,1.0,283479.0,99.0,869839.0,4587741.0,1.32
1996.0,4.0,1.0,42048.0,70.0,266489.0,612174.8,0.17
2000.0,7.0,1.0,150453.0,85.0,1057410.0,3459547.0,1.77
1922.0,10.0,1.0,90920.0,99.0,256587.0,3895860.0,2.33
2008.0,6.0,1.0,145350.0,87.8,937774.0,302326.0,0.33
1928.0,2.0,1.0,28800.0,85.6,96036.0,190404.0,0.42
2016.0,7.0,1.0,391386.0,99.0,1527068.0,4340094.0,0.81
1988.0,4.0,1.0,40152.0,89.0,151058.0,1078972.0,0.14
1958.0,2.0,1.0,26994.0,52.0,328675.0,3285720.0,6.69
1980.0,3.0,1.0,31792.0,72.0,210480.0,677658.8,0.2
2009.0,6.0,1.0,36389.0,57.0,419736.0,725717.4,0.23
1971.0,11.0,1.0,78199.0,48.0,1007671.0,767890.0,0.78
1918.0,2.0,1.0,28309.0,82.2,63322.0,418230.0,0.83
1985.0,1.0,1.0,22803.0,62.0,126762.0,539430.0,1.36
2016.0,4.0,1.0,22694.0,100.0,98591.0,258509.0,0.69
1970.0,2.0,1.0,28304.0,67.0,351360.0,541763.4,0.25
2012.0,7.0,1.0,157070.0,99.0,866200.0,1149901.0,0.65
1910.0,2.0,1.0,33300.0,88.0,79278.0,1001230.0,1.64
1926.0,4.0,1.0,23616.0,55.0,218033.0,912493.0,2.23
1963.0,7.0,1.0,28277.0,94.0,198905.0,496281.2,0.14
1929.0,3.0,1.0,36282.0,93.0,192064.0,444380.0,0.87
1985.0,4.0,1.0,84385.0,98.0,532167.0,770294.8,0.17
2004.0,4.0,1.0,53919.0,71.0,351819.0,1404871.6,0.13
1996.0,4.0,1.0,46184.0,22.0,498288.0,1991141.0,0.21
1930.0,17.0,1.0,204790.0,88.0,1764926.0,2417780.0,0.93
1923.0,2.0,1.0,21462.0,45.6,328683.0,814409.8,0.3
1999.0,6.0,1.0,1913640.0,67.8,13951700.0,11014954.0,0.54
1968.0,4.0,1.0,33192.0,63.0,295298.0,331502.8,0.18
1992.0,3.0,1.0,33238.0,17.0,421707.0,1179671.4,0.25
1955.0,3.0,1.0,28094.0,70.2,274854.0,740524.2,0.19
2008.0,5.0,1.0,436497.0,45.2,8667809.0,14201780.0,3.27
2016.0,6.0,1.0,240700.0,95.0,1637549.0,6805955.8,0.18
1926.0,4.0,1.0,27000.0,38.2,691368.0,1023334.0,2.52
2015.0,5.0,1.0,175844.0,89.2,294388.0,1455330.0,0.67
1995.0,5.0,1.0,37824.0,97.0,187452.0,329082.0,0.56
1914.0,2.0,1.0,33589.0,82.0,29400.0,518838.0,0.84
1968.0,7.0,1.0,40248.0,89.0,373910.0,432611.4,0.18
1971.0,6.0,1.0,65418.0,62.0,641176.0,1046000.0,1.04
2006.0,7.0,1.0,262316.0,96.0,1542886.0,2533494.0,0.77
1990.0,5.0,2.0,57091.0,95.0,454066.0,1018290.6,0.16
2014.0,8.0,1.0,31990.0,100.0,169324.0,394854.0,0.76
1973.0,19.0,1.0,319911.0,53.0,3206083.0,4011408.2,2.59
1997.0,5.0,1.0,26843.0,81.4,99248.0,295106.0,0.81
1949.0,1.0,1.0,101101.0,7.0,4892963.0,0.0,0.96
2016.0,6.0,2.0,395317.0,97.0,1925668.0,3953570.0,0.8
1971.0,1.0,1.0,55206.0,75.0,398548.0,985906.0,1.09
1928.0,14.0,1.0,50141.0,93.0,232270.0,1684550.0,1.87
1994.0,10.0,1.0,381511.0,88.0,3175324.0,576022.0,0.44
2016.0,5.0,1.0,25020.0,99.0,290126.0,315670.0,0.9
1964.0,4.0,1.0,26639.0,93.0,193214.0,614879.2,0.14
1991.0,4.0,1.0,42401.0,94.8,306623.0,673298.0,0.19
1925.0,3.0,1.0,28700.0,39.0,293078.0,421536.8,0.2
1974.0,23.0,1.0,169565.0,14.0,1600107.0,1290548.0,0.59
1900.0,4.0,1.0,34680.0,88.0,246474.0,483540.0,0.88
1994.0,6.0,1.0,77577.0,90.0,394512.0,903780.0,1.15
1999.0,3.0,1.0,43969.0,91.0,237049.0,1060590.8,0.17
1907.0,4.0,1.0,36660.0,98.0,163500.0,436780.0,0.72
2008.0,20.0,1.0,455883.0,72.6,5834221.0,14022859.0,5.88
1960.0,1.0,1.0,110613.0,87.0,306517.0,3099162.6,0.05
1930.0,2.0,1.0,36630.0,58.0,197414.0,242972.0,1.95
1979.0,3.0,1.0,63990.0,69.0,374722.0,79759.0,0.31
2016.0,37.0,2.0,1599230.0,91.0,13639170.0,6153373.0,0.55
1985.0,4.0,1.0,22716.0,31.0,239159.0,773141.4,0.21
2004.0,6.4,1.0,225982.0,43.0,4133708.0,2437580.0,4.56
1988.0,4.0,1.0,24847.0,68.0,194964.0,319522.4,0.16
1925.0,3.0,1.0,36148.0,11.0,104434.0,3398420.0,6.17
1989.0,4.0,1.0,30720.0,96.0,255970.0,527414.2,0.16
1970.0,1.0,1.0,43615.0,89.0,391191.0,1730746.0,2.28
1985.0,1.0,1.0,31604.0,98.0,26415.0,221180.0,0.39
1970.0,4.0,1.0,29222.0,78.0,218930.0,821309.8,0.15
1902.0,6.0,1.0,74211.0,100.0,220263.0,2085301.0,0.07
1926.0,2.0,1.0,50292.0,81.6,209685.0,1342884.2,0.08
1928.0,2.0,1.0,30000.0,86.6,228054.0,149030.0,0.41
2005.0,1.0,1.0,20616.0,77.8,170055.0,721997.2,0.16
2002.0,4.0,1.0,183524.0,96.0,955963.0,1824441.6,0.17
1928.0,6.0,1.0,39279.0,31.0,1278205.0,2823381.0,4.45
1948.0,1.0,1.0,46970.0,77.4,146319.0,1136539.2,0.06
1975.0,3.0,1.0,41478.0,3.0,527369.0,1236579.0,1.83
1992.0,4.0,1.0,21232.0,88.8,130145.0,150840.0,0.5
1992.0,8.0,1.0,188717.0,85.0,1093983.0,460226.0,0.34
1952.0,2.0,1.0,173185.0,52.0,512092.0,8408030.0,2.63
1911.0,6.0,1.0,23338.0,65.2,203960.0,1764636.0,4.18
1908.0,11.0,1.0,177364.0,93.0,1101048.0,2258278.0,0.85
2004.0,7.0,1.0,193946.0,83.0,1682072.0,3106913.0,1.15
1966.0,1.0,1.0,41615.0,69.0,556860.0,879005.4,0.26
1980.0,2.0,1.0,53365.0,72.2,3173503.0,3753493.0,4.9
2009.0,7.0,1.0,32143.0,54.0,205811.0,520599.0,1.39
1923.0,11.0,1.0,102846.0,97.0,535197.0,4103821.4,2.35
2002.0,5.0,1.0,21536.0,54.2,97184.0,790217.2,0.09
2000.0,11.0,1.0,312512.0,63.0,6484771.0,14692.0,0.41
1928.0,3.0,1.0,28940.0,19.0,71889.0,1668273.0,3.37
1969.0,1.0,1.0,25920.0,5.0,333225.0,77540.0,0.41
1977.0,1.0,1.0,128800.0,68.0,132978.0,1359579.0,0.58
2016.0,7.0,1.0,187070.0,88.2,500717.0,1661424.0,0.68
1994.0,6.0,1.0,31027.0,79.4,230809.0,159100.0,0.42
1928.0,2.0,1.0,54943.0,73.0,118655.0,2140201.0,2.11
1926.0,1.0,1.0,20460.0,16.0,264813.0,892297.4,0.26
1940.0,3.0,1.0,83118.0,88.0,471748.0,550490.0,0.46
2008.0,3.0,1.0,254523.0,65.0,1923881.0,5075436.0,1.21
1998.0,6.0,1.0,174000.0,62.0,2494955.0,338350.0,2.69
2014.0,7.0,1.0,209583.0,100.0,1152646.0,2315397.0,1.0
1972.0,5.0,1.0,87178.0,71.0,1082537.0,1001910.0,0.32
1960.0,10.0,1.0,101706.0,42.0,592281.0,4693677.0,2.56
1969.0,4.0,1.0,27878.0,57.0,187683.0,507791.6,0.13
2014.0,7.0,1.0,318835.0,99.0,1484164.0,2523700.0,0.69
1990.0,4.0,1.0,33084.0,46.0,326067.0,497325.4,0.2
1907.0,4.0,1.0,38407.0,59.0,351812.0,403860.8,0.18
1916.0,3.0,1.0,24171.0,81.0,125494.0,413143.0,1.01
2003.0,7.0,1.0,39962.0,74.0,225340.0,747972.0,1.1
1965.0,1.0,1.0,23169.0,66.4,60270.0,1388712.2,0.05
1999.0,5.0,1.0,206950.0,77.2,3627270.0,2422998.0,1.76
2002.0,5.0,1.0,119996.0,88.0,847379.0,1269830.0,0.7
2002.0,6.0,1.0,25200.0,95.2,153430.0,289279.0,0.73
1906.0,5.0,1.0,26840.0,46.0,406230.0,589082.4,0.3
1968.0,2.0,1.0,23500.0,78.6,139939.0,309641.0,0.82
1970.0,2.0,1.0,39170.0,36.0,345844.0,2491290.0,3.55
1955.0,2.0,1.0,31020.0,54.0,358031.0,3748445.0,6.63
2014.0,6.0,4.0,292376.0,70.6,3357757.0,3741349.0,0.91
2016.0,39.0,1.0,567403.0,90.0,2664446.0,8559912.0,1.06
1991.0,6.0,1.0,41834.0,96.0,281997.0,591126.2,0.18
1980.0,3.0,1.0,52166.0,61.0,389811.0,1120068.6,0.15
1962.0,11.0,1.0,67813.0,86.0,496552.0,1246950.0,1.12
1988.0,2.0,1.0,23577.0,87.0,98472.0,241921.0,0.63
2000.0,2.0,1.0,64493.0,85.0,489828.0,318470.0,0.41
2014.0,12.0,1.0,123686.0,90.0,998344.0,890700.0,0.54
1929.0,3.0,1.0,85126.0,74.0,712171.0,898586.0,0.73
2015.0,4.0,1.0,47612.0,97.0,479980.0,881949.0,1.37
1966.0,6.0,1.0,46351.0,77.0,346033.0,800070.0,0.17
2014.0,7.0,1.0,333714.0,62.0,3481976.0,587500.0,0.53
2013.0,6.0,1.0,41502.0,69.2,312841.0,1354138.0,1.88
1968.0,5.0,1.0,44687.0,59.0,390423.0,1288653.0,0.17
1908.0,3.0,1.0,135608.0,83.0,1108304.0,1306815.0,0.67
2007.0,4.0,1.0,83175.0,62.0,538526.0,872910.0,1.11
2015.0,7.0,1.0,325000.0,69.0,2583406.0,7652903.0,1.41
1985.0,4.0,1.0,26112.0,99.0,152407.0,350713.8,0.12
1970.0,9.0,1.0,54820.0,51.0,574642.0,542276.0,0.9
1916.0,1.0,2.0,27760.0,66.0,228289.0,2426906.0,4.8
1930.0,20.0,1.0,98634.0,51.0,1379876.0,807954.0,2.68
1922.0,1.0,1.0,37400.0,79.0,247023.0,34115.0,0.18
2018.0,8.0,1.0,393343.0,100.0,1381420.0,3076720.0,0.58
1984.0,3.0,1.0,23210.0,67.8,191905.0,602173.8,0.16
1968.0,7.0,1.0,35750.0,100.0,225293.0,608090.0,1.19
1987.0,4.0,1.0,20506.0,71.6,158690.0,363653.8,0.15
2005.0,1.0,2.0,57952.0,82.4,454811.0,1780050.0,1.78
1990.0,4.0,1.0,25490.0,84.0,211013.0,666873.8,0.16
1906.0,4.0,1.0,43484.0,40.0,340591.0,717280.2,0.16
1992.0,4.0,1.0,31236.0,90.0,249379.0,608293.2,0.16
1994.0,1.0,1.0,20050.0,54.2,239387.0,1441170.0,4.05
1929.0,4.0,1.0,54697.0,50.8,636698.0,2695823.0,3.8
1900.0,3.0,1.0,23015.0,49.4,240120.0,787350.0,0.21
2012.0,3.0,2.0,21753.0,75.8,194530.0,143120.0,1.03
1910.0,2.0,1.0,24600.0,70.0,55338.0,307090.0,0.71
1900.0,6.0,1.0,75496.0,90.0,1058912.0,1501218.4,0.34
2005.0,7.0,1.0,134974.0,100.0,678878.0,2444402.0,1.33
1984.0,4.0,1.0,50252.0,71.0,464966.0,1466088.0,0.18
2003.0,5.0,1.0,52020.0,94.0,301542.0,360014.0,0.48
1980.0,4.0,1.0,109347.0,34.2,2687116.0,1310360.0,1.76
1912.0,1.0,1.0,23445.0,50.2,381458.0,4998060.0,11.62
1929.0,4.0,1.0,23875.0,69.0,86870.0,906620.0,2.08
1927.0,3.0,1.0,29656.0,89.0,149355.0,341839.0,0.71
1961.0,3.0,1.0,29186.0,100.0,41894.0,451677.0,0.99
2018.0,6.0,1.0,42000.0,94.0,376278.0,720390.6,0.18
1928.0,14.0,1.0,50141.0,95.0,244698.0,1291753.0,1.46
1900.0,1.0,1.0,20880.0,94.0,200256.0,964382.2,0.19
2016.0,5.0,1.0,139342.0,93.0,733463.0,1218430.0,0.78
2018.0,6.0,1.0,53298.0,85.0,443993.0,1134287.0,1.32
1967.0,4.0,1.0,44416.0,57.0,441622.0,1094554.0,1.5
1942.0,2.0,1.0,30087.0,88.2,1486870.0,521285.2,0.98
1926.0,1.0,1.0,164120.0,84.0,863205.0,314940.0,1.72
1990.0,4.0,1.0,41126.0,54.0,331210.0,785468.0,1.17
2012.0,7.0,1.0,301831.0,100.0,706999.0,3892128.0,0.73
1990.0,5.0,1.0,39050.0,96.0,327345.0,0.0,0.17
1992.0,3.0,1.0,33238.0,11.0,518504.0,1236133.4,0.31
1969.0,5.0,1.0,27918.0,69.0,224622.0,140196.0,0.43
1923.0,6.0,1.0,72576.0,97.0,189205.0,3048973.0,2.28
2004.0,3.0,1.0,21947.0,40.8,290684.0,608867.0,1.73
1988.0,4.0,1.0,22448.0,92.0,146933.0,569939.6,0.13
1968.0,7.0,1.0,35750.0,100.0,205560.0,572928.0,1.12
2019.0,6.0,1.0,26255.0,98.0,212428.0,293420.0,0.75
1916.0,3.0,1.0,24171.0,100.0,114613.0,297686.4,0.09
1966.0,2.0,1.0,33332.0,87.6,211280.0,1074980.0,1.83
2013.0,6.0,1.0,231510.0,82.0,1958577.0,127580.0,0.35
1910.0,2.0,1.0,21765.0,80.0,35147.0,311468.0,0.79
1970.0,1.0,1.0,84420.0,51.0,868252.0,641216.0,0.2
1956.0,2.0,1.0,93803.0,65.6,844293.0,1133810.0,0.82
1946.0,1.0,1.0,24295.0,54.0,48175.0,422287.0,0.04
1967.0,17.0,1.0,212938.0,92.0,998255.0,8535169.0,2.22
1978.0,4.0,1.0,37760.0,83.0,315856.0,796993.0,0.17
2018.0,3.0,1.0,162182.0,73.0,1075912.0,1296270.0,0.55
2018.0,8.0,2.0,358944.0,99.0,1714940.0,7150941.8,0.11
1990.0,2.0,1.0,39000.0,58.0,564822.0,355610.0,0.77
2009.0,1.0,1.0,36400.0,69.4,301520.0,632200.0,1.08
1996.0,6.0,1.0,30713.0,92.0,144209.0,359486.0,0.71
2002.0,4.0,1.0,58359.0,89.0,284573.0,691940.0,0.72
1920.0,2.0,1.0,20150.0,80.0,168867.0,804124.6,0.17
1964.0,1.0,1.0,52759.0,86.0,273005.0,1070183.0,1.18
1997.0,1.0,1.0,131387.0,73.0,2234664.0,1551176.0,0.96
2000.0,3.0,1.0,54969.0,70.8,1074155.0,2454592.8,0.39
1979.0,1.0,1.0,31600.0,2.0,446544.0,1679714.0,3.1
2018.0,5.0,4.0,44016.0,100.0,362494.0,882489.0,1.23
2008.0,6.0,1.0,145350.0,90.6,960833.0,289614.0,0.33
